policy,mode,agent_order,seed_set,seed,shortfall_bps,completion_rate
twap,dynamic_duopoly,before,final,90091,120.0438,1.000000
lookahead,dynamic_duopoly,before,final,90092,140.5511,1.000000
twap,dynamic_duopoly,before,final,90092,110.5006,1.000000
lookahead,dynamic_duopoly,before,final,90093,80.0429,1.000000
twap,dynamic_duopoly,before,final,90093,95.5385,1.000000
lookahead,dynamic_duopoly,before,final,90094,101.8853,1.000000
twap,dynamic_duopoly,before,final,90094,113.6007,1.000000
lookahead,dynamic_duopoly,before,final,90095,73.8835,1.000000
twap,dynamic_duopoly,before,final,90095,97.1636,1.000000
lookahead,dynamic_duopoly,before,final,90096,66.1206,1.000000
twap,dynamic_duopoly,before,final,90096,96.0751,1.000000
lookahead,dynamic_duopoly,before,final,90097,99.1407,1.000000
twap,dynamic_duopoly,before,final,90097,107.7571,1.000000
lookahead,dynamic_duopoly,before,final,90098,121.4858,1.000000
twap,dynamic_duopoly,before,final,90098,114.8621,1.000000
lookahead,dynamic_duopoly,before,final,90099,89.8875,1.000000
twap,dynamic_duopoly,before,final,90099,111.9074,1.000000
lookahead,dynamic_duopoly,before,final,90100,94.1229,1.000000
twap,dynamic_duopoly,before,final,90100,110.1174,1.000000
lookahead,dynamic_duopoly,before,final,90101,89.3070,1.000000
twap,dynamic_duopoly,before,final,90101,114.5347,1.000000
lookahead,dynamic_duopoly,before,final,90102,79.7241,1.000000
twap,dynamic_duopoly,before,final,90102,108.1322,1.000000
lookahead,dynamic_duopoly,before,final,90103,97.2456,1.000000
twap,dynamic_duopoly,before,final,90103,107.3037,1.000000
lookahead,dynamic_duopoly,before,final,90104,108.6862,1.000000
twap,dynamic_duopoly,before,final,90104,79.7720,1.000000
lookahead,dynamic_duopoly,before,final,90105,144.3489,1.000000
twap,dynamic_duopoly,before,final,90105,122.9166,1.000000
lookahead,dynamic_duopoly,before,final,90106,112.9326,1.000000
twap,dynamic_duopoly,before,final,90106,126.0462,1.000000
lookahead,dynamic_duopoly,before,final,90107,117.3789,1.000000
twap,dynamic_duopoly,before,final,90107,120.0216,1.000000
lookahead,dynamic_duopoly,before,final,90108,84.6230,1.000000
twap,dynamic_duopoly,before,final,90108,109.4740,1.000000
lookahead,dynamic_duopoly,before,final,90109,124.4885,1.000000
twap,dynamic_duopoly,before,final,90109,117.4961,1.000000
lookahead,dynamic_duopoly,before,final,90110,82.8037,1.000000
twap,dynamic_duopoly,before,final,90110,112.9850,1.000000
lookahead,dynamic_duopoly,before,final,90111,168.3715,1.000000
twap,dynamic_duopoly,before,final,90111,139.8144,1.000000
lookahead,dynamic_duopoly,before,final,90112,89.0616,1.000000
twap,dynamic_duopoly,before,final,90112,102.6547,1.000000
lookahead,dynamic_duopoly,before,final,90113,125.7654,1.000000
twap,dynamic_duopoly,before,final,90113,115.1198,1.000000
lookahead,dynamic_duopoly,before,final,90114,125.2813,1.000000
twap,dynamic_duopoly,before,final,90114,123.0747,1.000000
lookahead,dynamic_duopoly,before,final,90115,119.0030,1.000000
twap,dynamic_duopoly,before,final,90115,106.0081,1.000000
lookahead,dynamic_duopoly,before,final,90116,64.3570,1.000000
twap,dynamic_duopoly,before,final,90116,87.9824,1.000000
lookahead,dynamic_duopoly,before,final,90117,129.2947,1.000000
twap,dynamic_duopoly,before,final,90117,117.9662,1.000000
lookahead,dynamic_duopoly,before,final,90118,169.7668,1.000000
twap,dynamic_duopoly,before,final,90118,130.9250,1.000000
lookahead,dynamic_duopoly,before,final,90119,142.1240,1.000000
twap,dynamic_duopoly,before,final,90119,127.5622,1.000000
lookahead,dynamic_duopoly,before,final,90120,122.0727,1.000000
twap,dynamic_duopoly,before,final,90120,129.5389,1.000000
lookahead,dynamic_duopoly,before,final,90121,90.6736,1.000000
twap,dynamic_duopoly,before,final,90121,105.0982,1.000000
lookahead,dynamic_duopoly,before,final,90122,142.6294,1.000000
twap,dynamic_duopoly,before,final,90122,124.7112,1.000000
lookahead,dynamic_duopoly,before,final,90123,132.8191,1.000000
twap,dynamic_duopoly,before,final,90123,127.8316,1.000000
lookahead,dynamic_duopoly,before,final,90124,16.0822,1.000000
twap,dynamic_duopoly,before,final,90124,83.3357,1.000000
lookahead,dynamic_duopoly,before,final,90125,6.3498,1.000000
twap,dynamic_duopoly,before,final,90125,78.2695,1.000000
lookahead,dynamic_duopoly,before,final,90126,83.8180,1.000000
twap,dynamic_duopoly,before,final,90126,102.8410,1.000000
lookahead,dynamic_duopoly,before,final,90127,142.2441,1.000000
twap,dynamic_duopoly,before,final,90127,132.4092,1.000000
lookahead,dynamic_duopoly,before,final,90128,115.7112,1.000000
twap,dynamic_duopoly,before,final,90128,105.2541,1.000000
lookahead,dynamic_duopoly,before,final,90129,78.8512,1.000000
twap,dynamic_duopoly,before,final,90129,112.3520,1.000000
lookahead,dynamic_duopoly,before,final,90130,180.2563,1.000000
twap,dynamic_duopoly,before,final,90130,171.1455,1.000000
lookahead,dynamic_duopoly,before,final,90131,110.7742,1.000000
twap,dynamic_duopoly,before,final,90131,104.8260,1.000000
lookahead,dynamic_duopoly,before,final,90132,119.4150,1.000000
twap,dynamic_duopoly,before,final,90132,116.3131,1.000000
lookahead,dynamic_duopoly,before,final,90133,123.6043,1.000000
twap,dynamic_duopoly,before,final,90133,123.7652,1.000000
lookahead,dynamic_duopoly,before,final,90134,75.4125,1.000000
twap,dynamic_duopoly,before,final,90134,97.5616,1.000000
lookahead,dynamic_duopoly,before,final,90135,94.4647,1.000000
twap,dynamic_duopoly,before,final,90135,110.2599,1.000000
lookahead,dynamic_duopoly,before,final,90136,84.4151,1.000000
twap,dynamic_duopoly,before,final,90136,110.3820,1.000000
lookahead,dynamic_duopoly,before,final,90137,162.9207,1.000000
twap,dynamic_duopoly,before,final,90137,133.1842,1.000000
lookahead,dynamic_duopoly,before,final,90138,97.8004,1.000000
twap,dynamic_duopoly,before,final,90138,109.1850,1.000000
lookahead,dynamic_duopoly,before,final,90139,97.0020,1.000000
twap,dynamic_duopoly,before,final,90139,100.3716,1.000000
lookahead,dynamic_duopoly,before,final,90140,66.9633,1.000000
twap,dynamic_duopoly,before,final,90140,108.2987,1.000000
lookahead,dynamic_duopoly,before,final,90141,131.4802,1.000000
twap,dynamic_duopoly,before,final,90141,125.4256,1.000000
lookahead,dynamic_duopoly,before,final,90142,125.5108,1.000000
twap,dynamic_duopoly,before,final,90142,106.8197,1.000000
lookahead,dynamic_duopoly,before,final,90143,102.5429,1.000000
twap,dynamic_duopoly,before,final,90143,114.5172,1.000000
lookahead,dynamic_duopoly,before,final,90144,108.2382,1.000000
twap,dynamic_duopoly,before,final,90144,112.9088,1.000000
lookahead,dynamic_duopoly,before,final,90145,121.2129,1.000000
twap,dynamic_duopoly,before,final,90145,124.3530,1.000000
lookahead,dynamic_duopoly,before,final,90146,116.3216,1.000000
twap,dynamic_duopoly,before,final,90146,102.3633,1.000000
lookahead,dynamic_duopoly,before,final,90147,90.9139,1.000000
twap,dynamic_duopoly,before,final,90147,118.4972,1.000000
lookahead,dynamic_duopoly,before,final,90148,147.3395,1.000000
twap,dynamic_duopoly,before,final,90148,116.0618,1.000000
lookahead,dynamic_duopoly,before,final,90149,96.8443,1.000000
twap,dynamic_duopoly,before,final,90149,103.6593,1.000000
lookahead,dynamic_duopoly,before,final,90150,145.6224,1.000000
twap,dynamic_duopoly,before,final,90150,127.1882,1.000000
lookahead,dynamic_duopoly,before,final,90151,70.6218,1.000000
twap,dynamic_duopoly,before,final,90151,94.5030,1.000000
lookahead,dynamic_duopoly,before,final,90152,136.7191,1.000000
twap,dynamic_duopoly,before,final,90152,127.4114,1.000000
lookahead,dynamic_duopoly,before,final,90153,128.1270,1.000000
twap,dynamic_duopoly,before,final,90153,119.3977,1.000000
lookahead,dynamic_duopoly,before,final,90154,80.0822,1.000000
twap,dynamic_duopoly,before,final,90154,92.6941,1.000000
lookahead,dynamic_duopoly,before,final,90155,90.2087,1.000000
twap,dynamic_duopoly,before,final,90155,111.4017,1.000000
lookahead,dynamic_duopoly,before,final,90156,113.6342,1.000000
twap,dynamic_duopoly,before,final,90156,125.1362,1.000000
lookahead,dynamic_duopoly,before,final,90157,70.0159,1.000000
twap,dynamic_duopoly,before,final,90157,89.9077,1.000000
lookahead,dynamic_duopoly,before,final,90158,74.2175,1.000000
twap,dynamic_duopoly,before,final,90158,116.6852,1.000000
lookahead,dynamic_duopoly,before,final,90159,100.4844,1.000000
twap,dynamic_duopoly,before,final,90159,121.5411,1.000000
lookahead,dynamic_duopoly,before,final,90160,91.3477,1.000000
twap,dynamic_duopoly,before,final,90160,94.2499,1.000000
lookahead,dynamic_duopoly,before,final,90161,120.9081,1.000000
twap,dynamic_duopoly,before,final,90161,117.8719,1.000000
lookahead,dynamic_duopoly,before,final,90162,112.4615,1.000000
twap,dynamic_duopoly,before,final,90162,106.5907,1.000000
lookahead,dynamic_duopoly,before,final,90163,143.5516,1.000000
twap,dynamic_duopoly,before,final,90163,141.1481,1.000000
lookahead,dynamic_duopoly,before,final,90164,133.2128,1.000000
twap,dynamic_duopoly,before,final,90164,114.2563,1.000000
lookahead,dynamic_duopoly,before,final,90165,81.7903,1.000000
twap,dynamic_duopoly,before,final,90165,96.1483,1.000000
lookahead,dynamic_duopoly,before,final,90166,92.1597,1.000000
twap,dynamic_duopoly,before,final,90166,114.0310,1.000000
lookahead,dynamic_duopoly,before,final,90167,75.2257,1.000000
twap,dynamic_duopoly,before,final,90167,110.2499,1.000000
lookahead,dynamic_duopoly,before,final,90168,91.6000,1.000000
twap,dynamic_duopoly,before,final,90168,107.9919,1.000000
lookahead,dynamic_duopoly,before,final,90169,67.0632,1.000000
twap,dynamic_duopoly,before,final,90169,99.5022,1.000000
lookahead,dynamic_duopoly,before,final,90170,83.2500,1.000000
twap,dynamic_duopoly,before,final,90170,115.2264,1.000000
lookahead,dynamic_duopoly,before,final,90171,152.3233,1.000000
twap,dynamic_duopoly,before,final,90171,127.1406,1.000000
lookahead,dynamic_duopoly,before,final,90172,72.5366,1.000000
twap,dynamic_duopoly,before,final,90172,105.5733,1.000000
lookahead,dynamic_duopoly,before,final,90173,87.5092,1.000000
twap,dynamic_duopoly,before,final,90173,107.6265,1.000000
lookahead,dynamic_duopoly,before,final,90174,142.5539,1.000000
twap,dynamic_duopoly,before,final,90174,105.4892,1.000000
lookahead,dynamic_duopoly,before,final,90175,109.4846,1.000000
twap,dynamic_duopoly,before,final,90175,110.4051,1.000000
lookahead,dynamic_duopoly,before,final,90176,77.2822,1.000000
twap,dynamic_duopoly,before,final,90176,106.8143,1.000000
lookahead,dynamic_duopoly,before,final,90177,116.0337,1.000000
twap,dynamic_duopoly,before,final,90177,111.3671,1.000000
lookahead,dynamic_duopoly,before,final,90178,149.5565,1.000000
twap,dynamic_duopoly,before,final,90178,124.8589,1.000000
lookahead,dynamic_duopoly,before,final,90179,72.5361,1.000000
twap,dynamic_duopoly,before,final,90179,93.0040,1.000000
lookahead,dynamic_duopoly,before,final,90180,58.1738,1.000000
twap,dynamic_duopoly,before,final,90180,98.9607,1.000000
lookahead,dynamic_duopoly,before,final,90181,58.9742,1.000000
twap,dynamic_duopoly,before,final,90181,100.3832,1.000000
lookahead,dynamic_duopoly,before,final,90182,86.7246,1.000000
twap,dynamic_duopoly,before,final,90182,120.6135,1.000000
lookahead,dynamic_duopoly,before,final,90183,119.1526,1.000000
twap,dynamic_duopoly,before,final,90183,117.2352,1.000000
lookahead,dynamic_duopoly,before,final,90184,121.0537,1.000000
twap,dynamic_duopoly,before,final,90184,125.2009,1.000000
lookahead,dynamic_duopoly,before,final,90185,97.6182,1.000000
twap,dynamic_duopoly,before,final,90185,109.0285,1.000000
lookahead,dynamic_duopoly,before,final,90186,135.0720,1.000000
twap,dynamic_duopoly,before,final,90186,124.3504,1.000000
lookahead,dynamic_duopoly,before,final,90187,110.1614,1.000000
twap,dynamic_duopoly,before,final,90187,108.7840,1.000000
lookahead,dynamic_duopoly,before,final,90188,85.1449,1.000000
twap,dynamic_duopoly,before,final,90188,109.5491,1.000000
lookahead,dynamic_duopoly,before,final,90189,62.5370,1.000000
twap,dynamic_duopoly,before,final,90189,103.5869,1.000000
lookahead,dynamic_duopoly,before,final,90190,134.8955,1.000000
twap,dynamic_duopoly,before,final,90190,131.3907,1.000000
lookahead,dynamic_duopoly,before,final,90191,124.7879,1.000000
twap,dynamic_duopoly,before,final,90191,126.2822,1.000000
lookahead,dynamic_duopoly,before,final,90192,59.4135,1.000000
twap,dynamic_duopoly,before,final,90192,98.6222,1.000000
lookahead,dynamic_duopoly,before,final,90193,99.7343,1.000000
twap,dynamic_duopoly,before,final,90193,111.1409,1.000000
lookahead,dynamic_duopoly,before,final,90194,85.6586,1.000000
twap,dynamic_duopoly,before,final,90194,116.3651,1.000000
lookahead,dynamic_duopoly,before,final,90195,45.3491,1.000000
twap,dynamic_duopoly,before,final,90195,95.6327,1.000000
lookahead,dynamic_duopoly,before,final,90196,95.4157,1.000000
twap,dynamic_duopoly,before,final,90196,104.5419,1.000000
lookahead,dynamic_duopoly,before,final,90197,58.2219,1.000000
twap,dynamic_duopoly,before,final,90197,100.8325,1.000000
lookahead,dynamic_duopoly,before,final,90198,142.5927,1.000000
twap,dynamic_duopoly,before,final,90198,120.6233,1.000000
lookahead,dynamic_duopoly,before,final,90199,74.1581,1.000000
twap,dynamic_duopoly,before,final,90199,107.6640,1.000000
lookahead,dynamic_duopoly,before,final,90200,128.9906,1.000000
twap,dynamic_duopoly,before,final,90200,125.3123,1.000000
lookahead,dynamic_duopoly,before,final,90201,83.4400,1.000000
twap,dynamic_duopoly,before,final,90201,114.0179,1.000000
lookahead,dynamic_duopoly,before,final,90202,148.3362,1.000000
twap,dynamic_duopoly,before,final,90202,138.1866,1.000000
lookahead,dynamic_duopoly,before,final,90203,189.3826,1.000000
twap,dynamic_duopoly,before,final,90203,165.2728,1.000000
lookahead,dynamic_duopoly,before,final,90204,122.8047,1.000000
twap,dynamic_duopoly,before,final,90204,121.2353,1.000000
lookahead,dynamic_duopoly,before,final,90205,128.5671,1.000000
twap,dynamic_duopoly,before,final,90205,133.6479,1.000000
lookahead,dynamic_duopoly,before,final,90206,96.9097,1.000000
twap,dynamic_duopoly,before,final,90206,107.1239,1.000000
lookahead,dynamic_duopoly,before,final,90207,118.0192,1.000000
twap,dynamic_duopoly,before,final,90207,121.2750,1.000000
lookahead,dynamic_duopoly,before,final,90208,102.4493,1.000000
twap,dynamic_duopoly,before,final,90208,127.3725,1.000000
lookahead,dynamic_duopoly,before,final,90209,57.4782,1.000000
twap,dynamic_duopoly,before,final,90209,85.6682,1.000000
lookahead,dynamic_duopoly,before,final,90210,135.1229,1.000000
twap,dynamic_duopoly,before,final,90210,114.0340,1.000000
lookahead,dynamic_duopoly,before,final,90211,134.8163,1.000000
twap,dynamic_duopoly,before,final,90211,124.0117,1.000000
lookahead,dynamic_duopoly,before,final,90212,63.7606,1.000000
twap,dynamic_duopoly,before,final,90212,91.8689,1.000000
lookahead,dynamic_duopoly,before,final,90213,124.1719,1.000000
twap,dynamic_duopoly,before,final,90213,123.1426,1.000000
lookahead,dynamic_duopoly,before,final,90214,104.9464,1.000000
twap,dynamic_duopoly,before,final,90214,116.4503,1.000000
lookahead,dynamic_duopoly,before,final,90215,97.4092,1.000000
twap,dynamic_duopoly,before,final,90215,101.1987,1.000000
lookahead,dynamic_duopoly,before,final,90216,82.6007,1.000000
twap,dynamic_duopoly,before,final,90216,108.6010,1.000000
lookahead,dynamic_duopoly,before,final,90217,98.9601,1.000000
twap,dynamic_duopoly,before,final,90217,103.4417,1.000000
lookahead,dynamic_duopoly,before,final,90218,115.8670,1.000000
twap,dynamic_duopoly,before,final,90218,116.8796,1.000000
lookahead,dynamic_duopoly,before,final,90219,104.8311,1.000000
twap,dynamic_duopoly,before,final,90219,110.0383,1.000000
lookahead,dynamic_duopoly,before,final,90220,172.6815,1.000000
twap,dynamic_duopoly,before,final,90220,140.9822,1.000000
lookahead,dynamic_duopoly,before,final,90221,128.7274,1.000000
twap,dynamic_duopoly,before,final,90221,120.9990,1.000000
lookahead,dynamic_duopoly,before,final,90222,134.7963,1.000000
twap,dynamic_duopoly,before,final,90222,135.5500,1.000000
lookahead,dynamic_duopoly,before,final,90223,108.3905,1.000000
