mode,policy,seed,shortfall_bps,completion_rate,filled_qty,avg_slippage_bps,fees_paid_x,gas_paid_x,route_concentration,mean_post_trade_gap_bps,arb_trade_count,arb_profit_x,n_steps,total_reward
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,6,134.8187,0.9997,49.9852,106.9055,235.8261,100.0000,0.5049,53.4849,9,151.9385,50,-0.013482
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,7,120.1438,0.9997,49.9852,108.3038,237.9519,100.0000,0.5234,69.5846,11,115.4206,50,-0.012014
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,8,123.0624,0.9997,49.9852,107.3974,236.5320,100.0000,0.5119,62.0722,12,175.3240,50,-0.012306
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,9,132.9848,0.9997,49.9852,105.8117,233.8704,100.0000,0.5068,67.7872,14,121.3224,50,-0.013298
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,10,119.3857,0.9997,49.9852,107.8141,237.2940,100.0000,0.5069,56.0145,11,122.0981,50,-0.011939
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,11,158.0214,0.9997,49.9852,127.1726,270.4739,100.0000,0.6224,64.6419,9,262.8785,50,-0.015802
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,12,125.4795,0.9997,49.9852,100.7969,225.3377,100.0000,0.5643,60.5487,11,75.5724,50,-0.012548
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,13,128.2320,0.9997,49.9852,108.2440,237.9615,100.0000,0.5228,71.3141,15,179.0250,50,-0.012823
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,14,124.6156,0.9997,49.9852,101.3521,226.3920,100.0000,0.5013,58.5157,13,131.6245,50,-0.012462
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,15,127.7900,0.9997,49.9852,103.1049,229.2760,100.0000,0.5523,67.0415,16,154.0699,50,-0.012779
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,16,116.3411,0.9997,49.9852,100.5858,224.9201,100.0000,0.5010,68.3274,17,126.3858,50,-0.011634
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,17,120.2859,0.9997,49.9852,98.6028,221.6886,100.0000,0.5296,54.6993,12,135.1474,50,-0.012029
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,18,123.6302,0.9997,49.9852,102.3932,228.0200,100.0000,0.5899,77.4871,14,177.0378,50,-0.012363
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,19,109.9874,0.9997,49.9852,90.3583,207.5470,100.0000,0.5338,62.8663,13,94.8376,50,-0.010999
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,20,112.8213,0.9997,49.9852,95.0762,215.4565,100.0000,0.5459,68.4640,14,87.8820,50,-0.011282
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,21,121.1371,0.9997,49.9852,100.4616,224.9044,100.0000,0.5010,56.7368,8,112.8541,50,-0.012114
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,22,121.3465,0.9997,49.9852,105.5522,233.3139,100.0000,0.5072,70.7818,16,127.2332,50,-0.012135
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,23,120.4241,0.9997,49.9852,106.7912,235.4560,100.0000,0.5004,72.0569,10,137.1046,50,-0.012042
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,24,141.3051,0.9997,49.9852,126.6923,269.6932,100.0000,0.5547,68.7860,10,231.2791,50,-0.014131
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,25,130.6962,0.9997,49.9852,104.6064,231.9064,100.0000,0.5189,59.1608,13,167.6640,50,-0.013070
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,26,140.4808,0.9997,49.9852,122.5604,262.6050,100.0000,0.5484,67.0619,11,186.4745,50,-0.014048
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,27,115.0559,0.9997,49.9852,97.3519,219.5212,100.0000,0.5166,61.6687,15,135.5978,50,-0.011506
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,28,120.7269,0.9997,49.9852,103.9757,230.7181,100.0000,0.5016,63.2131,12,140.1751,50,-0.012073
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,29,153.4865,0.9997,49.9852,134.2641,282.4518,100.0000,0.5120,71.7468,11,183.5943,50,-0.015349
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,30,130.6430,0.9997,49.9852,115.2395,250.0030,100.0000,0.5665,67.4052,14,133.7055,50,-0.013064
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,31,108.9504,0.9997,49.9852,97.2019,219.2231,100.0000,0.5167,57.6338,13,92.4482,50,-0.010895
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,32,104.0727,0.9997,49.9852,92.4454,211.0220,100.0000,0.5110,60.0280,13,84.7577,50,-0.010407
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,33,124.4866,0.9997,49.9852,111.3141,243.1273,100.0000,0.5080,68.2527,13,155.0772,50,-0.012449
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,34,110.2974,0.9997,49.9852,99.8334,223.6679,100.0000,0.5011,60.2986,16,129.5320,50,-0.011030
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,35,132.6849,0.9997,49.9852,105.3701,233.1355,100.0000,0.5022,64.2201,14,128.6413,50,-0.013268
