policy,seed_set,arb_profit_x,arb_trade_count,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,gas_paid_bps,gas_paid_x,mean_post_trade_gap_bps,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,53.74509806379274,15,0.004640921584930584,0.004748729920695047,32.66608351883048,34.79042019433098,83.06350513503342,0.9863797484335938,-5.126948421914898,35.513183722066124,177.56591861033064,49.31898742167969,6.4,32.0,80.1011974234828,DynamicDuopoly,50,0.6489813255013639,0.7729297762258306,0.22707022377416933,30042,85.92926119047368,46.41897557704067,2.7240503132812504,-0.008592926119047313,0.7
rl,test,59.74627756114387,17,0.004883679564553364,0.0048455336757656795,37.48291832346483,36.731125417624085,87.86117717651648,0.9857020047156493,-50.328896995232704,38.61097309978984,193.0548654989492,49.285100235782465,7.6000000000000005,38.0,75.12626044734853,DynamicDuopoly,50,0.7797845843129214,0.874021780323634,0.12597821967636608,30043,46.73564054120906,47.9939653797793,2.859599056870125,-0.004673564054120642,0.64
rl,test,88.11932064011035,18,0.004663570050761043,0.004622162229516846,33.10224214197519,32.28621537018314,88.33285735304754,0.9914873427709963,-42.36174543005369,37.00893096120855,185.04465480604273,49.57436713854981,6.4,32.0,81.16818963882164,DynamicDuopoly,50,0.9662467411768638,0.9828285105380915,0.01717148946190849,30044,53.321696032089164,50.571979055134015,1.702531445800781,-0.005332169603208959,0.68
rl,test,53.7243690753221,17,0.004531203496791616,0.004593936645671281,30.478199833912125,31.714328137190755,85.74655750277519,0.9808465212347413,3.486143361779356,36.05286645519711,180.26433227598557,49.042326061737064,6.4,32.0,79.3748385053718,DynamicDuopoly,50,0.7467204092476629,0.8512267139951508,0.14877328600484924,30045,97.82105174928053,48.051346179254644,3.830695753051758,-0.009782105174928274,0.68
rl,test,83.19086533229301,15,0.004635028905183619,0.004679888903794196,32.54266418942808,33.42656689283487,82.66882175840918,0.9816126603853514,-3.2986043917150054,35.84408321237531,179.22041606187656,49.08063301926757,6.800000000000001,34.0,74.10090368746026,DynamicDuopoly,50,0.753819832493841,0.8562441806499027,0.14375581935009732,30046,88.32762558840992,45.30467884481916,3.677467922929688,-0.008832762558840896,0.68
rl,test,52.05566300407827,18,0.003878828826725275,0.003823665410542512,17.33613087386748,16.324782940200322,76.10656754416107,0.9747773119140626,27.213783355628966,31.817959574845688,159.08979787422845,48.73886559570313,5.999999999999999,30.0,78.16272600256282,DynamicDuopoly,50,0.6650219738261052,0.7872472574508808,0.21275274254911916,30047,112.44527630252115,42.36899575485768,5.0445376171875,-0.011244527630251945,0.74
rl,test,68.74072433146557,21,0.004706336798604592,0.004919311478143279,33.97815471169003,38.1749008150016,83.9294464205274,0.9834513943468163,-43.802280919943634,36.17115263056246,180.8557631528123,49.172569717340814,6.800000000000001,34.0,74.67335998089177,DynamicDuopoly,50,0.9243158406581007,0.9606060359233803,0.039393964076619666,30048,48.84797131971773,46.36937847846161,3.3097211306367176,-0.004884797131971716,0.66
rl,test,58.382249160696574,14,0.004572124520363288,0.004674080775088826,31.296316949005313,33.305484816397225,87.4299703881851,0.9886497903613283,7.272040799495686,36.597837128245466,182.98918564122732,49.43248951806641,6.4,32.0,74.95142947103035,DynamicDuopoly,50,0.6050147388590383,0.7291448655971134,0.27085513440288655,30049,102.37970462280481,49.83978476733086,2.2700419277343746,-0.010237970462280649,0.7
rl,test,64.23993380358615,13,0.003899070752968063,0.003951853145424803,17.897395981776,18.937444368215562,75.61769555663005,0.9852901283082811,0.04778107131568126,32.64421486701872,163.2210743350936,49.264506415414054,6.4,32.0,71.48860488354349,DynamicDuopoly,50,0.6934411682407084,0.8109993313824874,0.1890006686175127,30050,83.89512436702967,41.86115409034986,2.9419743383437496,-0.008389512436702799,0.68
rl,test,46.81682145680861,13,0.004153397495248143,0.004151690268137593,22.9529145985597,22.85454235703514,64.06353333284233,0.9019341887218753,45.96345127065768,23.98144107377548,119.90720536887738,45.09670943609376,5.199999999999999,26.0,75.736226893499,DynamicDuopoly,50,0.5113026937785049,0.575175440732013,0.4248245592679871,30051,128.55770448949355,33.79964988943848,19.613162255625003,-0.012855770448949642,0.74
rl,test,27.214698941353163,11,0.004171621830983077,0.00408496534871442,23.307716720833593,21.600066840955197,59.894404331819445,0.9148734277099608,39.1414582710665,23.97584424466718,119.87922122333589,45.74367138549804,5.199999999999999,26.0,72.04241176292385,DynamicDuopoly,50,0.5722416590468965,0.6900548066307407,0.30994519336925935,30052,116.1625717207739,30.81995474703081,17.025314458007813,-0.011616257172077222,0.74
rl,test,58.628449968803125,13,0.004235082263957711,0.004418782357817534,24.59695484150694,28.21686437142495,69.02143953416922,0.9813828186401682,-2.9525463071623466,31.873067901487186,159.36533950743592,49.06914093200841,7.2,36.0,61.03012726619472,DynamicDuopoly,50,0.7097436856455536,0.8238392237249478,0.17616077627505225,30053,75.70734484145021,35.86338697515773,3.723436271966308,-0.007570734484144893,0.64
rl,test,39.31976909322748,15,0.003466269961259023,0.0034184143275793623,9.274614094570403,8.33155445735667,76.66723808665517,0.9858122379516603,27.56361191810611,32.66778715576122,163.3389357788061,49.29061189758301,6.4,32.0,77.04096073854853,DynamicDuopoly,50,0.5092178769988986,0.5678891633432709,0.4321108366567291,30054,112.38066588355227,42.911714400017075,2.8375524096679685,-0.011238066588355194,0.7
rl,test,67.69952642976023,13,0.004880097014105836,0.0047146060507044655,37.39922699806989,34.13799628303557,85.05699125256633,0.9829746855419923,-9.04158079952567,34.541218419609116,172.7060920980456,49.148734277099614,5.999999999999999,30.0,81.45571684525797,DynamicDuopoly,50,0.6352865497109166,0.7600832075614616,0.2399167924385383,30055,83.97235132171525,49.06765081003025,3.405062891601562,-0.008397235132171513,0.7
rl,test,52.73480933954079,17,0.00464384657573589,0.004679378207893909,32.717250804109106,33.41731269041056,78.66172111654502,0.9489240566259767,20.370890047884433,32.201812368329136,161.0090618416457,47.446202831298834,5.6,28.0,77.41119873304568,DynamicDuopoly,50,0.6030451445598739,0.7269858415847494,0.27301415841525056,30056,110.83007822577915,42.44218713476402,10.215188674804686,-0.011083007822578221,0.72
rl,test,46.18030310260747,15,0.004037686153166173,0.0039973371623955554,20.646807424784534,19.85169137032026,67.19998767379987,0.9827618691112672,13.294097085568373,30.565446675323848,152.82723337661923,49.13809345556336,6.800000000000001,34.0,65.92786614123806,DynamicDuopoly,50,0.524613378802967,0.6109355191157618,0.38906448088423806,30057,89.58330875387153,35.476138815233824,3.4476261777465815,-0.008958330875387246,0.66
rl,test,42.64752752091181,17,0.004092521260655457,0.004176901413474022,21.750260058923164,23.41294023236102,66.81809989246135,0.9829746855419923,11.433649629385592,28.497603999931314,142.48801999965656,49.148734277099614,5.999999999999999,30.0,70.37889909673835,DynamicDuopoly,50,0.6083107001944894,0.7327130209018067,0.2672869790981934,30058,86.51921325129268,37.182896730374296,3.405062891601562,-0.008651921325129265,0.7
