policy,seed_set,seed,shortfall_bps,completion_rate
stochastic_planner,final,90128,115.1366,1.0000
lookahead,final,90128,115.7112,1.0000
twap,final,90128,105.2541,1.0000
stochastic_planner,final,90129,86.4386,1.0000
lookahead,final,90129,78.8512,1.0000
twap,final,90129,112.3520,1.0000
stochastic_planner,final,90130,173.0124,1.0000
lookahead,final,90130,180.2563,1.0000
twap,final,90130,171.1455,1.0000
stochastic_planner,final,90131,100.8230,1.0000
lookahead,final,90131,110.7742,1.0000
twap,final,90131,104.8260,1.0000
stochastic_planner,final,90132,122.2233,1.0000
lookahead,final,90132,119.4150,1.0000
twap,final,90132,116.3131,1.0000
stochastic_planner,final,90133,126.4171,1.0000
lookahead,final,90133,123.6043,1.0000
twap,final,90133,123.7652,1.0000
stochastic_planner,final,90134,78.8681,1.0000
lookahead,final,90134,75.4125,1.0000
twap,final,90134,97.5616,1.0000
stochastic_planner,final,90135,92.0131,1.0000
lookahead,final,90135,94.4647,1.0000
twap,final,90135,110.2599,1.0000
stochastic_planner,final,90136,82.0887,1.0000
lookahead,final,90136,84.4151,1.0000
twap,final,90136,110.3820,1.0000
stochastic_planner,final,90137,166.8756,1.0000
lookahead,final,90137,162.9207,1.0000
twap,final,90137,133.1842,1.0000
stochastic_planner,final,90138,108.1481,1.0000
lookahead,final,90138,97.8004,1.0000
twap,final,90138,109.1850,1.0000
stochastic_planner,final,90139,110.2954,1.0000
lookahead,final,90139,97.0020,1.0000
twap,final,90139,100.3716,1.0000
stochastic_planner,final,90140,72.2731,1.0000
lookahead,final,90140,66.9633,1.0000
twap,final,90140,108.2987,1.0000
stochastic_planner,final,90141,127.8579,1.0000
lookahead,final,90141,131.4802,1.0000
twap,final,90141,125.4256,1.0000
stochastic_planner,final,90142,122.1388,1.0000
lookahead,final,90142,125.5108,1.0000
twap,final,90142,106.8197,1.0000
stochastic_planner,final,90143,105.1687,1.0000
lookahead,final,90143,102.5429,1.0000
twap,final,90143,114.5172,1.0000
stochastic_planner,final,90144,120.7113,1.0000
lookahead,final,90144,108.2382,1.0000
twap,final,90144,112.9088,1.0000
stochastic_planner,final,90145,121.2652,1.0000
lookahead,final,90145,121.2129,1.0000
twap,final,90145,124.3530,1.0000
stochastic_planner,final,90146,108.3073,1.0000
lookahead,final,90146,116.3216,1.0000
twap,final,90146,102.3633,1.0000
stochastic_planner,final,90147,94.4588,1.0000
lookahead,final,90147,90.9139,1.0000
twap,final,90147,118.4972,1.0000
stochastic_planner,final,90148,147.5887,1.0000
lookahead,final,90148,147.3395,1.0000
twap,final,90148,116.0618,1.0000
stochastic_planner,final,90149,102.5569,1.0000
lookahead,final,90149,96.8443,1.0000
twap,final,90149,103.6593,1.0000
stochastic_planner,final,90150,142.3354,1.0000
lookahead,final,90150,145.6224,1.0000
twap,final,90150,127.1882,1.0000
stochastic_planner,final,90151,65.8336,1.0000
lookahead,final,90151,70.6218,1.0000
twap,final,90151,94.5030,1.0000
stochastic_planner,final,90152,139.4404,1.0000
lookahead,final,90152,136.7191,1.0000
twap,final,90152,127.4114,1.0000
stochastic_planner,final,90153,117.8754,1.0000
