policy,mode,agent_order,seed_set,seed,shortfall_bps,completion_rate
lookahead,dynamic_duopoly,before,final,90139,91.2107,1.000000
twap,dynamic_duopoly,before,final,90139,100.3716,1.000000
lookahead,dynamic_duopoly,before,final,90140,69.6254,1.000000
twap,dynamic_duopoly,before,final,90140,108.2987,1.000000
lookahead,dynamic_duopoly,before,final,90141,108.5622,1.000000
twap,dynamic_duopoly,before,final,90141,125.4256,1.000000
lookahead,dynamic_duopoly,before,final,90142,143.0163,1.000000
twap,dynamic_duopoly,before,final,90142,106.8197,1.000000
lookahead,dynamic_duopoly,before,final,90143,108.8104,1.000000
twap,dynamic_duopoly,before,final,90143,114.5172,1.000000
lookahead,dynamic_duopoly,before,final,90144,112.6428,1.000000
twap,dynamic_duopoly,before,final,90144,112.9088,1.000000
lookahead,dynamic_duopoly,before,final,90145,155.8459,1.000000
twap,dynamic_duopoly,before,final,90145,124.3530,1.000000
lookahead,dynamic_duopoly,before,final,90146,102.9831,1.000000
twap,dynamic_duopoly,before,final,90146,102.3633,1.000000
lookahead,dynamic_duopoly,before,final,90147,83.2768,1.000000
twap,dynamic_duopoly,before,final,90147,118.4972,1.000000
lookahead,dynamic_duopoly,before,final,90148,146.0049,1.000000
twap,dynamic_duopoly,before,final,90148,116.0618,1.000000
lookahead,dynamic_duopoly,before,final,90149,108.8938,1.000000
twap,dynamic_duopoly,before,final,90149,103.6593,1.000000
lookahead,dynamic_duopoly,before,final,90150,157.5300,1.000000
twap,dynamic_duopoly,before,final,90150,127.1882,1.000000
lookahead,dynamic_duopoly,before,final,90151,63.6440,1.000000
twap,dynamic_duopoly,before,final,90151,94.5030,1.000000
lookahead,dynamic_duopoly,before,final,90152,144.1323,1.000000
twap,dynamic_duopoly,before,final,90152,127.4114,1.000000
lookahead,dynamic_duopoly,before,final,90153,144.8652,1.000000
twap,dynamic_duopoly,before,final,90153,119.3977,1.000000
lookahead,dynamic_duopoly,before,final,90154,73.7827,1.000000
twap,dynamic_duopoly,before,final,90154,92.6941,1.000000
lookahead,dynamic_duopoly,before,final,90155,127.9783,1.000000
twap,dynamic_duopoly,before,final,90155,111.4017,1.000000
lookahead,dynamic_duopoly,before,final,90156,101.5340,1.000000
twap,dynamic_duopoly,before,final,90156,125.1362,1.000000
lookahead,dynamic_duopoly,before,final,90157,87.5825,1.000000
twap,dynamic_duopoly,before,final,90157,89.9077,1.000000
lookahead,dynamic_duopoly,before,final,90158,30.3894,1.000000
twap,dynamic_duopoly,before,final,90158,116.6852,1.000000
lookahead,dynamic_duopoly,before,final,90159,93.6229,1.000000
twap,dynamic_duopoly,before,final,90159,121.5411,1.000000
lookahead,dynamic_duopoly,before,final,90160,74.5766,1.000000
twap,dynamic_duopoly,before,final,90160,94.2499,1.000000
lookahead,dynamic_duopoly,before,final,90161,201.6399,1.000000
twap,dynamic_duopoly,before,final,90161,117.8719,1.000000
lookahead,dynamic_duopoly,before,final,90162,119.2192,1.000000
twap,dynamic_duopoly,before,final,90162,106.5907,1.000000
lookahead,dynamic_duopoly,before,final,90163,151.8327,1.000000
twap,dynamic_duopoly,before,final,90163,141.1481,1.000000
lookahead,dynamic_duopoly,before,final,90164,139.9318,1.000000
twap,dynamic_duopoly,before,final,90164,114.2563,1.000000
lookahead,dynamic_duopoly,before,final,90165,79.0300,1.000000
twap,dynamic_duopoly,before,final,90165,96.1483,1.000000
lookahead,dynamic_duopoly,before,final,90166,83.9935,1.000000
twap,dynamic_duopoly,before,final,90166,114.0310,1.000000
lookahead,dynamic_duopoly,before,final,90167,39.4745,1.000000
twap,dynamic_duopoly,before,final,90167,110.2499,1.000000
lookahead,dynamic_duopoly,before,final,90168,99.2622,1.000000
twap,dynamic_duopoly,before,final,90168,107.9919,1.000000
lookahead,dynamic_duopoly,before,final,90169,57.0459,1.000000
twap,dynamic_duopoly,before,final,90169,99.5022,1.000000
lookahead,dynamic_duopoly,before,final,90170,34.0502,1.000000
twap,dynamic_duopoly,before,final,90170,115.2264,1.000000
lookahead,dynamic_duopoly,before,final,90171,128.3701,1.000000
twap,dynamic_duopoly,before,final,90171,127.1406,1.000000
lookahead,dynamic_duopoly,before,final,90172,77.1031,1.000000
twap,dynamic_duopoly,before,final,90172,105.5733,1.000000
lookahead,dynamic_duopoly,before,final,90173,112.2845,1.000000
twap,dynamic_duopoly,before,final,90173,107.6265,1.000000
lookahead,dynamic_duopoly,before,final,90174,158.2064,1.000000
twap,dynamic_duopoly,before,final,90174,105.4892,1.000000
lookahead,dynamic_duopoly,before,final,90175,110.4278,1.000000
twap,dynamic_duopoly,before,final,90175,110.4051,1.000000
lookahead,dynamic_duopoly,before,final,90176,80.1538,1.000000
twap,dynamic_duopoly,before,final,90176,106.8143,1.000000
lookahead,dynamic_duopoly,before,final,90177,118.9886,1.000000
twap,dynamic_duopoly,before,final,90177,111.3671,1.000000
lookahead,dynamic_duopoly,before,final,90178,178.7969,1.000000
twap,dynamic_duopoly,before,final,90178,124.8589,1.000000
lookahead,dynamic_duopoly,before,final,90179,57.7489,1.000000
twap,dynamic_duopoly,before,final,90179,93.0040,1.000000
lookahead,dynamic_duopoly,before,final,90180,55.6998,1.000000
twap,dynamic_duopoly,before,final,90180,98.9607,1.000000
lookahead,dynamic_duopoly,before,final,90181,55.4237,1.000000
twap,dynamic_duopoly,before,final,90181,100.3832,1.000000
lookahead,dynamic_duopoly,before,final,90182,93.7111,1.000000
twap,dynamic_duopoly,before,final,90182,120.6135,1.000000
lookahead,dynamic_duopoly,before,final,90183,128.8012,1.000000
twap,dynamic_duopoly,before,final,90183,117.2352,1.000000
lookahead,dynamic_duopoly,before,final,90184,114.8944,1.000000
twap,dynamic_duopoly,before,final,90184,125.2009,1.000000
lookahead,dynamic_duopoly,before,final,90185,93.0655,1.000000
twap,dynamic_duopoly,before,final,90185,109.0285,1.000000
lookahead,dynamic_duopoly,before,final,90186,152.3699,1.000000
twap,dynamic_duopoly,before,final,90186,124.3504,1.000000
lookahead,dynamic_duopoly,before,final,90187,137.0582,1.000000
twap,dynamic_duopoly,before,final,90187,108.7840,1.000000
lookahead,dynamic_duopoly,before,final,90188,134.5556,1.000000
twap,dynamic_duopoly,before,final,90188,109.5491,1.000000
lookahead,dynamic_duopoly,before,final,90189,80.3169,1.000000
twap,dynamic_duopoly,before,final,90189,103.5869,1.000000
lookahead,dynamic_duopoly,before,final,90190,213.5774,1.000000
twap,dynamic_duopoly,before,final,90190,131.3907,1.000000
lookahead,dynamic_duopoly,before,final,90191,151.2664,1.000000
twap,dynamic_duopoly,before,final,90191,126.2822,1.000000
lookahead,dynamic_duopoly,before,final,90192,33.5034,1.000000
twap,dynamic_duopoly,before,final,90192,98.6222,1.000000
lookahead,dynamic_duopoly,before,final,90193,116.7449,1.000000
twap,dynamic_duopoly,before,final,90193,111.1409,1.000000
lookahead,dynamic_duopoly,before,final,90194,77.1276,1.000000
twap,dynamic_duopoly,before,final,90194,116.3651,1.000000
lookahead,dynamic_duopoly,before,final,90195,37.3091,1.000000
twap,dynamic_duopoly,before,final,90195,95.6327,1.000000
lookahead,dynamic_duopoly,before,final,90196,84.3950,1.000000
twap,dynamic_duopoly,before,final,90196,104.5419,1.000000
lookahead,dynamic_duopoly,before,final,90197,102.6993,1.000000
twap,dynamic_duopoly,before,final,90197,100.8325,1.000000
lookahead,dynamic_duopoly,before,final,90198,140.5421,1.000000
twap,dynamic_duopoly,before,final,90198,120.6233,1.000000
lookahead,dynamic_duopoly,before,final,90199,78.7802,1.000000
twap,dynamic_duopoly,before,final,90199,107.6640,1.000000
lookahead,dynamic_duopoly,before,final,90200,114.4703,1.000000
twap,dynamic_duopoly,before,final,90200,125.3123,1.000000
lookahead,dynamic_duopoly,before,final,90201,61.6335,1.000000
twap,dynamic_duopoly,before,final,90201,114.0179,1.000000
lookahead,dynamic_duopoly,before,final,90202,169.7458,1.000000
twap,dynamic_duopoly,before,final,90202,138.1866,1.000000
lookahead,dynamic_duopoly,before,final,90203,165.7629,1.000000
twap,dynamic_duopoly,before,final,90203,165.2728,1.000000
lookahead,dynamic_duopoly,before,final,90204,126.3746,1.000000
twap,dynamic_duopoly,before,final,90204,121.2353,1.000000
lookahead,dynamic_duopoly,before,final,90205,141.4972,1.000000
twap,dynamic_duopoly,before,final,90205,133.6479,1.000000
lookahead,dynamic_duopoly,before,final,90206,91.5181,1.000000
twap,dynamic_duopoly,before,final,90206,107.1239,1.000000
lookahead,dynamic_duopoly,before,final,90207,127.3873,1.000000
twap,dynamic_duopoly,before,final,90207,121.2750,1.000000
lookahead,dynamic_duopoly,before,final,90208,67.7362,1.000000
twap,dynamic_duopoly,before,final,90208,127.3725,1.000000
lookahead,dynamic_duopoly,before,final,90209,39.8670,1.000000
twap,dynamic_duopoly,before,final,90209,85.6682,1.000000
lookahead,dynamic_duopoly,before,final,90210,119.8743,1.000000
twap,dynamic_duopoly,before,final,90210,114.0340,1.000000
lookahead,dynamic_duopoly,before,final,90211,158.1774,1.000000
twap,dynamic_duopoly,before,final,90211,124.0117,1.000000
lookahead,dynamic_duopoly,before,final,90212,56.6518,1.000000
twap,dynamic_duopoly,before,final,90212,91.8689,1.000000
lookahead,dynamic_duopoly,before,final,90213,160.2152,1.000000
twap,dynamic_duopoly,before,final,90213,123.1426,1.000000
lookahead,dynamic_duopoly,before,final,90214,103.7132,1.000000
twap,dynamic_duopoly,before,final,90214,116.4503,1.000000
lookahead,dynamic_duopoly,before,final,90215,77.7179,1.000000
twap,dynamic_duopoly,before,final,90215,101.1987,1.000000
lookahead,dynamic_duopoly,before,final,90216,74.9266,1.000000
twap,dynamic_duopoly,before,final,90216,108.6010,1.000000
lookahead,dynamic_duopoly,before,final,90217,106.9709,1.000000
twap,dynamic_duopoly,before,final,90217,103.4417,1.000000
lookahead,dynamic_duopoly,before,final,90218,121.0154,1.000000
twap,dynamic_duopoly,before,final,90218,116.8796,1.000000
lookahead,dynamic_duopoly,before,final,90219,124.0360,1.000000
twap,dynamic_duopoly,before,final,90219,110.0383,1.000000
