policy,agent_order,seed,shortfall_bps,completion_rate,forced_terminal_cost_bps,wait_share
dqn_order_random,random,90243,172.1389,1.0,69.6807,0.82
dqn_order_random,random,90244,128.742,1.0,2.4514,0.74
dqn_order_random,random,90245,90.8599,1.0,1.4418,0.74
dqn_order_random,random,90246,50.2831,1.0,0.2544,0.7
dqn_order_random,random,90247,126.5331,1.0,23.8349,0.8
dqn_order_random,random,90248,118.503,1.0,3.1926,0.74
dqn_order_random,random,90249,101.6727,1.0,1.5544,0.72
dqn_order_random,random,90250,60.136,1.0,1.92,0.7
dqn_order_random,random,90251,104.2504,1.0,2.5208,0.74
dqn_order_random,random,90252,74.7882,1.0,2.4561,0.76
dqn_order_random,random,90253,72.8641,1.0,2.5091,0.7
dqn_order_random,random,90254,172.1591,1.0,82.9627,0.88
dqn_order_random,random,90255,52.7662,1.0,1.2683,0.74
dqn_order_random,random,90256,60.3785,1.0,2.1359,0.66
dqn_order_random,random,90257,111.1102,1.0,4.1365,0.76
dqn_order_random,random,90258,112.331,1.0,3.1105,0.72
dqn_order_random,random,90259,37.6069,1.0,0.2849,0.7
dqn_order_random,random,90260,72.5544,1.0,3.0558,0.74
dqn_order_random,random,90261,129.9923,1.0,4.9742,0.72
dqn_order_random,random,90262,214.7473,1.0,88.3023,0.86
dqn_order_random,random,90263,122.0579,1.0,8.5736,0.74
dqn_order_random,random,90264,30.539,1.0,1.1633,0.66
dqn_order_random,random,90265,73.3683,1.0,2.2671,0.76
dqn_order_random,random,90266,139.8996,1.0,3.4251,0.74
dqn_order_random,random,90267,60.3352,1.0,1.6535,0.68
dqn_order_random,random,90268,130.4323,1.0,10.1212,0.76
dqn_order_random,random,90269,113.2692,1.0,2.1292,0.74
dqn_order_random,random,90270,67.2263,1.0,0.698,0.72
dqn_order_random,random,90271,100.6205,1.0,2.9032,0.76
dqn_order_random,random,90272,70.2957,1.0,3.8687,0.76
dqn_order_random,random,90273,160.9921,1.0,22.7579,0.8
dqn_order_random,random,90274,35.5457,1.0,0.3575,0.7
dqn_order_random,random,90275,87.6774,1.0,2.662,0.72
dqn_order_random,random,90276,100.959,1.0,0.9938,0.74
dqn_order_random,random,90277,87.1191,1.0,3.7498,0.74
dqn_order_random,random,90278,90.6734,1.0,2.9734,0.76
dqn_order_random,random,90279,78.7281,1.0,1.8179,0.72
dqn_order_random,random,90280,68.1583,1.0,2.2492,0.72
dqn_order_random,random,90281,152.5407,1.0,31.8941,0.82
dqn_order_random,random,90282,61.444,1.0,1.6638,0.68
dqn_order_random,random,90283,141.201,1.0,11.6982,0.76
dqn_order_random,random,90284,96.833,1.0,2.3506,0.72
dqn_order_random,random,90285,130.5073,1.0,3.6492,0.74
dqn_order_random,random,90286,110.7122,1.0,3.0188,0.74
dqn_order_random,random,90287,117.288,1.0,3.2249,0.72
dqn_order_random,random,90288,91.589,1.0,1.8623,0.76
dqn_order_random,random,90289,94.9147,1.0,1.7377,0.76
dqn_order_random,random,90290,114.4801,1.0,2.1043,0.74
dqn_order_random,random,90291,85.2558,1.0,5.1776,0.74
dqn_order_random,random,90292,135.0795,1.0,6.0759,0.7
dqn_order_random,random,90293,117.2264,1.0,4.8476,0.74
dqn_order_random,random,90294,95.6701,1.0,3.2026,0.74
dqn_order_random,random,90295,73.8199,1.0,2.0336,0.74
dqn_order_random,random,90296,118.5387,1.0,2.9235,0.74
dqn_order_random,random,90297,88.3688,1.0,4.0525,0.76
dqn_order_random,random,90298,94.5036,1.0,4.4416,0.76
dqn_order_random,random,90299,78.5018,1.0,2.153,0.74
dqn_order_random,random,90300,101.0271,1.0,3.7783,0.74
