policy,seed,shortfall_bps,completion_rate
two_step,90097,120.7640,1.0000
three_step,90097,108.8730,1.0000
q_learner,90097,106.3865,1.0000
q_learner_fine,90097,101.9199,1.0000
clairvoyant,90097,56.9461,1.0000
twap,90098,114.8621,1.0000
lookahead,90098,121.4858,1.0000
two_step,90098,144.2787,1.0000
three_step,90098,110.5452,1.0000
q_learner,90098,114.6786,1.0000
q_learner_fine,90098,105.8683,1.0000
clairvoyant,90098,73.5694,1.0000
twap,90099,111.9074,1.0000
lookahead,90099,89.8875,1.0000
two_step,90099,86.8222,1.0000
three_step,90099,86.7749,1.0000
q_learner,90099,112.0666,1.0000
q_learner_fine,90099,93.3335,1.0000
clairvoyant,90099,65.9094,1.0000
twap,90100,110.1174,1.0000
lookahead,90100,94.1229,1.0000
two_step,90100,95.4836,1.0000
three_step,90100,103.6581,1.0000
q_learner,90100,110.5517,1.0000
q_learner_fine,90100,104.9242,1.0000
clairvoyant,90100,75.7199,1.0000
twap,90101,114.5347,1.0000
lookahead,90101,89.3070,1.0000
two_step,90101,121.7977,1.0000
three_step,90101,101.2425,1.0000
q_learner,90101,131.1020,1.0000
q_learner_fine,90101,97.9578,1.0000
clairvoyant,90101,83.1145,1.0000
twap,90102,108.1322,1.0000
lookahead,90102,79.7241,1.0000
two_step,90102,115.5770,1.0000
three_step,90102,84.9886,1.0000
q_learner,90102,101.7185,1.0000
q_learner_fine,90102,81.0222,1.0000
clairvoyant,90102,66.3879,1.0000
twap,90103,107.3037,1.0000
lookahead,90103,97.2456,1.0000
two_step,90103,110.1281,1.0000
three_step,90103,98.3870,1.0000
q_learner,90103,106.7620,1.0000
q_learner_fine,90103,98.9747,1.0000
clairvoyant,90103,80.0467,1.0000
twap,90104,79.7720,1.0000
lookahead,90104,108.6862,1.0000
two_step,90104,126.6434,1.0000
three_step,90104,105.3661,1.0000
q_learner,90104,70.4285,1.0000
q_learner_fine,90104,75.5828,1.0000
clairvoyant,90104,50.8331,1.0000
twap,90105,122.9166,1.0000
lookahead,90105,144.3489,1.0000
two_step,90105,151.6981,1.0000
three_step,90105,139.3265,1.0000
q_learner,90105,124.4191,1.0000
q_learner_fine,90105,114.1729,1.0000
clairvoyant,90105,136.1004,1.0000
twap,90106,126.0462,1.0000
lookahead,90106,112.9326,1.0000
two_step,90106,106.6449,1.0000
three_step,90106,105.6699,1.0000
q_learner,90106,116.7681,1.0000
