policy,seed_set,arb_profit_x,arb_trade_count,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,forced_terminal_cost_bps,gas_paid_bps,gas_paid_x,mean_post_trade_gap_bps,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,123.32948957728331,11,0.0038638218109535464,0.0037829232554454878,17.18286466138301,15.58883120140181,76.91444518916614,0.94619159875,60.617144226112124,29.286837971198295,146.43418985599146,47.309579937500004,0.0,5.6,28.0,90.55242902929264,DynamicDuopoly,50,0.5000216388078514,0.503289286233477,0.4967107137665229,30047,149.7546263366173,43.488963889308074,10.761680249999998,-0.014975462633661823,0.78
rl,test,104.18847216518179,18,0.004520858187676739,0.004435399468042951,30.257873628586854,28.573839823893834,96.28526384852805,0.9803868377443749,-60.40776500808063,39.19025995014979,195.95129975074894,49.019341887218744,0.0,7.2,36.0,88.64523413624947,DynamicDuopoly,50,0.5219719557303635,0.39518598440484365,0.6048140155951565,30048,45.111672788886985,55.20654539569141,3.9226324511249997,-0.004511167278888581,0.7
rl,test,67.56028452379542,13,0.004246895494225785,0.004591402704244275,24.847757929418844,31.636571672923697,87.23242057919647,0.9757862194375001,7.726665911900772,35.39355029300036,176.9677514650018,48.789310971875004,0.0,6.800000000000001,34.0,85.04489737738903,DynamicDuopoly,50,0.5199823908215695,0.40004403264044336,0.5999559673595567,30049,104.48961591375651,49.72664359635576,4.8427561125,-0.010448961591375646,0.74
rl,test,98.08910736757298,12,0.004259943545411466,0.004288122892960957,25.07665126994419,25.632002020699804,74.62297440549447,0.973095799375,15.65233958812619,30.662924189320666,153.31462094660333,48.65478996875,0.0,6.4,32.0,81.95681996096789,DynamicDuopoly,50,0.5389036034885835,0.3605302837735313,0.6394697162264688,30050,100.0484826439813,41.952378741534154,5.380840124999999,-0.010004848264398082,0.76
rl,test,49.88141194949503,6,0.00357205428722058,0.003613905763188697,11.388395617008833,12.21326983096953,73.63915666819675,0.56953279,43.17281870852978,15.660734646506809,78.30367323253404,28.4766395,0.0,3.2,16.0,87.75167282330295,DynamicDuopoly,50,0.5243305751138404,0.3897036376079417,0.6102963623920582,30051,174.40617505901486,26.27917970397839,86.09344199999998,-0.017440617505901486,0.84
rl,test,77.86280049998277,9,0.003476632657585284,0.0034543620058020193,9.483144004414532,9.04456711555218,58.65256452463004,0.94619159875,50.93723647828474,24.433891481012505,122.16945740506253,47.309579937500004,0.0,5.6,28.0,67.59779018134196,DynamicDuopoly,50,0.5387017620486432,0.36089255582708163,0.6391074441729183,30052,122.79548052663078,31.06267231733473,10.761680249999998,-0.012279548052663207,0.78
rl,test,79.42857626670684,12,0.004054001047476812,0.004017358822909192,20.971919813789214,20.249803350076185,86.03039259561757,0.973095799375,-11.988782798591672,33.66220254106158,168.31101270530792,48.65478996875,0.0,6.4,32.0,93.43594842689312,DynamicDuopoly,50,0.5115774513457773,0.42391632453089173,0.5760836754691083,30053,83.5078709797857,50.05361111231598,5.380840124999999,-0.008350787097978584,0.76
rl,test,79.54642015655281,11,0.003860900582905653,0.004006924750915127,17.146815433768044,20.024378796916658,84.32396273875781,0.94619159875,36.01647785377596,32.07949873860789,160.39749369303945,47.309579937500004,0.0,5.6,28.0,91.16507977287593,DynamicDuopoly,50,0.5562791706960587,0.33225142221756593,0.6677485777824341,30054,132.16478322049437,47.707126378112804,10.761680249999998,-0.013216478322049672,0.78
rl,test,54.197902078144125,15,0.0037843717876331812,0.0038764442659591797,15.618612207916835,17.433043541025675,85.82071458802837,0.9757862194375001,-16.63571972497238,33.98729302189065,169.93646510945325,48.789310971875004,0.0,6.800000000000001,34.0,88.89036666890351,DynamicDuopoly,50,0.5014763012929627,0.47283107204026464,0.5271689279597355,30055,78.749707024803,49.75537761538626,4.8427561125,-0.007874970702480432,0.74
rl,test,133.79313426517456,13,0.004192469536700733,0.004110528921776639,23.723066060367554,22.108347131305877,87.19399169872742,0.973095799375,21.58833280649744,33.54157236912454,167.7078618456227,48.65478996875,0.0,6.4,32.0,81.0986797378434,DynamicDuopoly,50,0.5030750591361162,0.4607886551103118,0.5392113448896882,30056,118.21727998426756,51.30653468364574,5.380840124999999,-0.011821727998426743,0.76
rl,test,122.88443673373013,13,0.0037104761310287945,0.0038167593043961865,14.149361622728733,16.243968820218775,88.67559786396936,0.9865478996875001,17.915895301719715,33.25341504104136,166.26707520520677,49.327394984375005,0.0,6.800000000000001,34.0,94.59312790156643,DynamicDuopoly,50,0.5125940254485281,0.579353719032343,0.420646280967657,30057,114.88904019045054,54.22930978519098,2.6904200624999994,-0.011488904019045221,0.74
rl,test,96.60640336163533,13,0.004103227737472529,0.0043958567882777765,21.983622667353323,27.75014766362498,97.68501843486584,0.9865478996875001,15.808244248584808,35.40452110895769,177.02260554478846,49.327394984375005,0.0,7.2,36.0,100.56989900545324,DynamicDuopoly,50,0.5004615979971441,0.5151920702529978,0.48480792974700215,30058,122.06961407893593,60.96642865889392,2.6904200624999994,-0.012206961407893655,0.74
rl,test,82.13905727729662,17,0.004315919701204953,0.004444848397031047,26.20036465524788,28.741287942483215,89.08235760346989,0.9836556981203125,-43.64917964899141,34.117811468870194,170.58905734435098,49.18278490601563,0.0,7.2,36.0,87.03245767637803,DynamicDuopoly,50,0.5279684197916655,0.38174514853151786,0.6182548514684821,30059,54.4460493855887,53.50855718977432,3.2688603759375,-0.005444604938559033,0.7
rl,test,136.92231080303236,12,0.0035934302012005036,0.0038548903459625678,11.835455241706995,16.98764171269461,98.8568638426412,0.9757862194375001,8.947381653379646,38.83610651267468,194.1805325633734,48.789310971875004,0.0,6.800000000000001,34.0,89.16228589426743,DynamicDuopoly,50,0.5010028272372391,0.477607733062068,0.522392266937932,30060,117.05330320033777,57.62705892178388,4.8427561125,-0.011705330320033777,0.74
rl,test,112.48585710415455,13,0.004050558034632171,0.004350881427925132,20.936161533302997,26.854296412323375,88.40089544946404,0.9865478996875001,40.926964819469646,35.47340584854462,177.3670292427231,49.327394984375005,0.0,6.800000000000001,34.0,89.9611530289816,DynamicDuopoly,50,0.5140671883927538,0.41613347392208905,0.5838665260779109,30061,137.62910261813283,51.73831188761842,2.6904200624999994,-0.013762910261813262,0.74
rl,test,21.195178099364966,9,0.00386873377398724,0.0038565291975615913,17.28729419126358,17.046808627117862,81.40835233411839,0.784766395,54.0372778116867,25.87453527554862,129.37267637774312,39.23831975,0.0,4.0,20.0,85.0235760071847,DynamicDuopoly,50,0.5598163943344193,0.3270601342454273,0.6729398657545728,30062,164.97053799582181,38.0120039085873,43.04672099999999,-0.016497053799582245,0.82
rl,test,141.8458950150607,13,0.004612593278132398,0.004610621313973784,32.09163607645055,32.052893828278066,95.7877538805529,0.9757862194375001,-17.825253797409633,35.78566605859253,178.92833029296264,48.789310971875004,0.0,6.800000000000001,34.0,92.04179891244642,DynamicDuopoly,50,0.541570365634435,0.35582932747185547,0.6441706725281445,30063,87.28587254260296,57.682704168921916,4.8427561125,-0.008728587254260465,0.74
