extension,regime,policy,seed,shortfall_bps,completion_rate,fee_bps,gas_bps,slippage_ex_fee_bps,drift_bps,forced_terminal_cost_bps,route_share_A,route_share_B,wait_share,avg_depth_factor,min_depth_factor,jit_event_count
lp,frozen,twap,95464,112.0222,1.000000,42.4322,20.8000,50.4636,-1.6737,0.8084,0.5854,0.4146,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95465,89.2259,1.000000,35.8032,9.6000,48.3200,-4.4972,0.8044,0.5361,0.4639,0.6000,1.0000,1.0000,0
lp,frozen,twap,95465,102.4297,1.000000,40.1762,20.8000,46.1542,-4.7007,0.8048,0.4937,0.5063,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95466,57.0182,1.000000,39.4212,9.6000,55.4464,-47.4494,0.8197,0.6664,0.3336,0.6000,1.0000,1.0000,0
lp,frozen,twap,95466,94.8898,1.000000,42.9748,20.8000,51.6454,-20.5304,0.8201,0.5101,0.4899,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95467,96.6254,1.000000,37.0488,10.0000,47.5500,2.0266,0.8070,0.7413,0.2587,0.5600,1.0000,1.0000,0
lp,frozen,twap,95467,109.7185,1.000000,42.4162,20.8000,50.4819,-3.9797,0.8101,0.5142,0.4858,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95468,112.2005,1.000000,36.4091,10.0000,46.4514,19.3401,0.8077,0.6202,0.3798,0.5400,1.0000,1.0000,0
lp,frozen,twap,95468,116.6832,1.000000,41.5281,20.8000,48.7139,5.6412,0.8243,0.4898,0.5102,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95469,145.4193,1.000000,34.9317,9.6000,45.9210,54.9666,0.8156,0.7395,0.2605,0.5800,1.0000,1.0000,0
lp,frozen,twap,95469,143.9743,1.000000,40.5160,20.8000,46.6645,35.9938,0.8236,0.5145,0.4855,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95470,120.4190,1.000000,38.1015,8.8000,62.4001,11.1174,0.8048,0.5341,0.4659,0.6400,1.0000,1.0000,0
lp,frozen,twap,95470,124.8913,1.000000,43.6844,20.8000,52.8852,7.5217,0.8043,0.5343,0.4657,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95471,121.6405,1.000000,36.9580,9.2000,52.3078,23.1747,0.8016,0.5247,0.4753,0.6000,1.0000,1.0000,0
lp,frozen,twap,95471,108.6688,1.000000,40.6808,20.8000,47.0773,0.1107,0.8111,0.5598,0.4402,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95472,86.1484,1.000000,38.2382,9.2000,53.8326,-15.1224,0.8024,0.6726,0.3274,0.6000,1.0000,1.0000,0
lp,frozen,twap,95472,107.3926,1.000000,40.8432,20.8000,47.4332,-1.6837,0.8103,0.3927,0.6073,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95473,91.4680,1.000000,38.4252,9.6000,52.8187,-9.3759,0.8051,0.5487,0.4513,0.5800,1.0000,1.0000,0
lp,frozen,twap,95473,116.6539,1.000000,42.8544,20.8000,51.3182,1.6812,0.8183,0.6208,0.3792,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95474,127.0134,1.000000,36.7185,10.0000,45.9473,34.3477,0.8284,0.6054,0.3946,0.5600,1.0000,1.0000,0
lp,frozen,twap,95474,125.3067,1.000000,42.3956,20.8000,50.3734,11.7377,0.8288,0.7145,0.2855,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95475,89.0452,1.000000,38.8385,8.8000,63.7882,-22.3815,0.7958,0.5352,0.4648,0.6400,1.0000,1.0000,0
lp,frozen,twap,95475,103.7734,1.000000,41.5655,20.8000,48.8528,-7.4448,0.7943,0.5472,0.4528,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95476,105.0921,1.000000,35.2199,9.6000,46.1343,14.1378,0.8149,0.5410,0.4590,0.5400,1.0000,1.0000,0
lp,frozen,twap,95476,114.1958,1.000000,42.1737,20.8000,49.9870,1.2351,0.8199,0.5417,0.4583,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95477,117.3945,1.000000,39.1549,8.8000,62.4748,6.9648,0.8218,0.6561,0.3439,0.6400,1.0000,1.0000,0
lp,frozen,twap,95477,100.0198,1.000000,41.0897,20.8000,47.9065,-9.7763,0.8233,0.5482,0.4518,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95478,94.6920,1.000000,33.9661,8.4000,54.0466,-1.7206,0.7986,0.5285,0.4715,0.6200,1.0000,1.0000,0
lp,frozen,twap,95478,119.0435,1.000000,43.9906,20.8000,53.5172,0.7357,0.7887,0.5494,0.4506,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95479,50.0206,1.000000,39.0236,9.6000,55.4347,-54.0376,0.7948,0.6903,0.3097,0.5800,1.0000,1.0000,0
lp,frozen,twap,95479,92.6023,1.000000,42.9521,20.8000,51.6371,-22.7870,0.7945,0.6071,0.3929,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95480,85.5879,1.000000,37.2490,9.6000,48.1189,-9.3799,0.8099,0.4079,0.5921,0.5600,1.0000,1.0000,0
lp,frozen,twap,95480,106.7493,1.000000,42.5031,20.8000,50.6556,-7.2094,0.8125,0.4494,0.5506,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95481,76.1150,1.000000,36.8482,9.2000,49.8977,-19.8309,0.7910,0.4982,0.5018,0.5800,1.0000,1.0000,0
lp,frozen,twap,95481,110.7364,1.000000,40.1344,20.8000,46.0414,3.7606,0.7906,0.5043,0.4957,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95482,116.1736,1.000000,36.8141,9.2000,51.2078,18.9517,0.8105,0.6426,0.3574,0.5800,1.0000,1.0000,0
lp,frozen,twap,95482,117.3655,1.000000,42.5044,20.8000,50.5942,3.4669,0.8232,0.6005,0.3995,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95483,102.2794,1.000000,36.1455,10.0000,46.9236,9.2104,0.8132,0.7016,0.2984,0.5800,1.0000,1.0000,0
lp,frozen,twap,95483,122.9212,1.000000,40.7431,20.8000,47.1972,14.1809,0.8291,0.5605,0.4395,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95484,95.8146,1.000000,37.5213,10.0000,49.6435,-1.3502,0.8093,0.4926,0.5074,0.5800,1.0000,1.0000,0
lp,frozen,twap,95484,120.4247,1.000000,41.3662,20.8000,48.4166,9.8418,0.8042,0.5460,0.4540,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95485,94.0721,1.000000,39.6528,8.8000,65.4462,-19.8269,0.8061,0.5330,0.4670,0.6400,1.0000,1.0000,0
lp,frozen,twap,95485,99.4241,1.000000,40.9161,20.8000,47.5975,-9.8895,0.8145,0.5469,0.4531,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95486,100.6166,1.000000,37.7483,9.6000,52.1364,1.1319,0.8081,0.6871,0.3129,0.6000,1.0000,1.0000,0
lp,frozen,twap,95486,105.4634,1.000000,43.0535,20.8000,51.6990,-10.0891,0.8079,0.5828,0.4172,0.0000,1.0000,1.0000,0
