pool,treated,tier,class,fr12_usd,fr4_usd,sw12,old,covered
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,1,3000,weth-pair,41381.12,21802.36,20293,1,1
0x88ada7b1dd1c728ea87404cea7a0780139eb35d1,1,3000,weth-pair,19483.96,3248.19,16088,1,1
0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,1,3000,other,18298.05,7652.32,11487,1,1
0x0b599ebf4e05af48b56d38e2dde520570c366460,0,100,btc-pair,14816.07,4964.36,11296,0,1
0x177622e79acece98c39f6e12fa78ac7fc8a8bf62,0,100,weth-pair,3554.3,2074.22,5081,1,1
0x32d9259e6792b2150fd50395d971864647fa27b2,1,3000,weth-pair,27600.83,18552.63,14970,1,1
0x12d92d69c6de36d972e2c1046e615b7f53bf9c8e,1,10000,weth-pair,16242.09,6448.13,7036,1,1
0x744159757cac173a7a3ecf5e97adb10d1a725377,1,3000,weth-pair,12433.01,897.78,13462,1,1
0x9db9e0e53058c89e5b94e29621a205198648425b,1,3000,btc-pair,1507676.74,328578.03,14914,1,1
0xac4fd96fcf729390a3c8044422a529028ec36751,1,10000,weth-pair,40896.91,14961.26,6073,1,1
0xc4ce8e63921b8b6cbdb8fcb6bd64cc701fb926f2,1,10000,weth-pair,126367.3,33384.81,10088,1,1
0xdd949d1fe117744a38319c7b7dcc045d630bcc8d,1,10000,weth-pair,35422.11,7015.71,5564,1,1
0x4622df6fb2d9bee0dcdacf545acdb6a2b2f4f863,1,500,other,264.32,60.85,9837,1,1
0xaa089185bc53b701375495d93b6192e94e8ca296,1,3000,weth-pair,3338.33,729.24,7043,0,1
0x888ad017a29f175a879345190e101a61e3a6f3a0,1,10000,weth-pair,5972.28,337.68,1958,0,1
0x2982d3295a0e1a99e6e88ece0e93ffdfc5c761ae,1,3000,weth-pair,112746.36,64193.24,22633,1,1
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,1,3000,weth-pair,122599.34,43490.17,16038,1,1
0x2a9d2ba41aba912316d16742f259412b681898db,1,10000,weth-pair,37297.62,13260.59,7867,1,1
0x3470447f3cecffac709d3e783a307790b0208d60,1,3000,other,86428.25,31959.73,14602,1,1
0x764510ab1d39cf300e7abe8f5b8977d18f290628,1,3000,weth-pair,38689.87,8593.83,16631,1,1
0x59354356ec5d56306791873f567d61ebf11dfbd5,1,3000,weth-pair,19857.8,2821.96,13723,1,1
0xef530078320f3a9223661e2fe37001023048a7df,1,3000,weth-pair,29456.36,1602.92,22075,0,1
0x748c05b80d07de9692d976bd3173f301356ab945,0,100,other,1310.61,333.39,7144,0,1
0xe15e6583425700993bd08f51bf6e7b73cd5da91b,1,3000,btc-pair,77839.43,45687.22,10440,1,1
0x5cd0ad98ba6288ed7819246a1ebc0386c32c314b,1,500,weth-pair,4373.89,1609.9,14559,1,1
0x80fa4c1fd0fbb9a4f071999af69531dee1016644,1,3000,other,5867.23,1630.99,10204,1,1
0x81aee07f99be78d88881fa6d98feff7555113635,1,3000,other,76157.22,32297.09,20838,0,1
0x97944213d2caeea773da1c9b11b0525f25b749cc,1,3000,weth-pair,10383.31,3113.32,5668,1,1
0xe35bfbf439d7c37e2df41bf1236ccf1dec0543fd,1,10000,other,62192.4,7631.9,11443,0,1
0x6368172f9df8ff70ac7e2fc6b30cb964158d0090,1,10000,other,169312.28,11474.22,12039,0,1
0x7a1a9b361cfeb62c599794f708554a80751360a7,1,10000,other,67987.15,730.4,17536,0,1
0x9c7ed68b00dc4f45243b07ce71a54a86e8f8fcbb,1,10000,weth-pair,200853.43,69893.47,10108,0,1
0x5adeef7a2eb081f8d553d8afdc782d6699ff34f5,1,10000,other,13631.36,5456.68,5517,0,1
0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,0,3000,weth-pair,7294.84,2011.96,9483,1,1
0x0c30062368eefb96bf3ade1218e685306b8e89fa,1,10000,weth-pair,100585.11,18826.03,6503,1,1
0xcd83055557536eff25fd0eafbc56e74a1b4260b3,1,3000,weth-pair,157531.24,87093.34,21869,1,1
0xb6b925d7ee9496ac91cd4fa7e9cc96c17dad6d27,1,3000,weth-pair,4152.19,1083.12,6064,1,1
0x7b3ed3a3444144ff526554d5f4aa463d1759f51a,1,10000,weth-pair,62544.87,12179.27,13034,1,1
0x53ead11073fc0651dce70572666f0ed0752abfea,1,3000,other,124192.32,72096.07,31472,0,1
0xe8a1f39c16eea2844e98f951d711bb4bb31557ad,1,3000,btc-pair,275191.13,170835.25,11392,0,1
0xd3e9895230e8fb1460852f6cda3c4b926fbc29d8,1,10000,weth-pair,130769.19,26248.96,12012,1,1
0x4229851dd1fc22b481dd93e5e23af2535eefe940,0,10000,other,730.93,201.98,3516,0,1
0x495864cad6cf60e97efcd3f14ff8b1f167956ba2,1,3000,weth-pair,6352.18,2642.86,7922,1,1
0x7bd14d4230cca852e40d45537f58988314cfcbf1,0,10000,weth-pair,2387.63,2.79,2515,0,1
0xd10a303db5f0fb535f4c52e6acf13b19e1afbc7d,1,3000,other,17020.05,1618.58,8340,0,1
0xa1276d6e03e12970e5f5aee72fd5ddfcfc8fd587,1,3000,other,1245.16,250.52,2162,1,1
0x86bc870520acf4e9c255270d7f51c814ad184960,1,3000,weth-pair,9635.34,1463.15,8732,1,1
0xa29d18f6a73f6f65c9f0eeae2dd0563d6f615c0f,1,10000,weth-pair,17490.66,3189.9,3564,1,1
0x0691f5bd1e12f483acf2e32dc922bb82f1ee7d69,0,3000,other,6638.93,362.78,7192,0,1
0x433a00819c771b33fa7223a5b3499b24fbcd1bbc,1,10000,weth-pair,677669.2,328629.94,11395,1,1
0x6bbb0289dfda178555dd1ce4aaa8f1bdbfb1bcde,1,500,other,0.0,0.0,13288,1,0
0x735a26a57a0a0069dfabd41595a970faf5e1ee8b,1,100,other,104.03,33.86,3148,1,1
0x3150b450f8325ac4afbfa52f33ecf00232f1294e,1,3000,weth-pair,19445.47,6595.92,14179,0,1
0x92560c178ce069cc014138ed3c2f5221ba71f58a,1,3000,weth-pair,29704.86,5940.61,7929,1,1
0x1385fc1fe0418ea0b4fcf7adc61fc7535ab7f80d,1,3000,weth-pair,6148.7,1735.39,7474,1,1
0x43e7ade137b86798654d8e78c36d5a556a647224,1,10000,weth-pair,39799.76,12924.71,5377,1,1
0x95a45a87dd4d3a1803039072f37e075f37b23d75,1,10000,weth-pair,143946.88,116364.52,13913,1,1
0x57f52c9faa6d40c5163d76b8d7dd81ddb7c95434,1,10000,weth-pair,91480.36,22840.13,8220,0,1
0x59c38b6775ded821f010dbd30ecabdcf84e04756,1,3000,other,0.0,0.0,11876,1,0
0xd640333b71b015092d9b3afcff3e427036304370,1,10000,other,34429.68,14622.73,5818,1,1
0xe092769bc1fa5262d4f48353f90890dcc339bf80,1,10000,weth-pair,106676.87,27777.34,9937,1,1
0xa7bc6c09907fa2ded89f1c8d05374621cb1f88c5,1,3000,other,2521.63,111.25,5619,1,1
0xe308d7b56319305ffb9b75ab50fee2c91933ce7a,1,3000,other,4310.06,487.49,2909,1,1
0x7832310cd0de39c4ce0a635f34d9a4b5b47fd434,1,10000,weth-pair,18752.08,3694.65,5239,1,1
0xe061b362aa157a5037b225570cff9ebf1d657929,1,10000,weth-pair,5196.2,512.5,5467,1,1
0x4b1f895066058662b9fa885e87a4e4159be0798a,1,3000,weth-pair,22214.35,2876.74,15910,1,1
0x08a10a8b713c03e2fecaa3e355cea18a459ffcbf,1,3000,weth-pair,6233.62,1041.51,6326,0,1
0xe2c50c574d49be1455a0947686c44cbda699cea3,1,10000,weth-pair,3849.11,1043.4,1299,0,1
