gap_bucket,vol_bucket,flow_bucket,volume_bucket,prev_fee_bucket,action_fee_bps,value_estimate,visit_count
0,1,2,2,0,10,0.040815,12992
0,1,2,2,0,20,0.040772,13032
0,1,2,2,0,30,0.040726,13032
0,1,2,2,1,3,0.041189,277143
0,1,2,2,1,6,0.041129,33304
0,1,2,2,1,10,0.040828,19577
0,1,2,2,1,20,0.040792,19544
0,1,2,2,1,30,0.040729,19497
0,1,2,2,2,3,0.041227,98846
0,1,2,2,2,6,0.041024,15413
0,1,2,2,2,10,0.040823,10250
0,1,2,2,2,20,0.040783,10051
0,1,2,2,2,30,0.040727,10170
0,1,2,2,3,3,0.041214,50221
0,1,2,2,3,6,0.041050,16327
0,1,2,2,3,10,0.040777,6650
0,1,2,2,3,20,0.040759,6447
0,1,2,2,3,30,0.040704,6657
0,1,2,2,4,3,0.040847,21891
0,1,2,2,4,6,0.041166,9264
0,1,2,2,4,10,0.040780,4259
0,1,2,2,4,20,0.040758,4263
0,1,2,2,4,30,0.040742,4069
0,1,3,0,0,3,0.000000,0
0,1,3,0,0,6,0.006005,5
0,1,3,0,0,10,0.000016,1
0,1,3,0,0,20,0.000012,1
0,1,3,0,0,30,0.000016,3
0,1,3,0,1,3,0.000000,0
0,1,3,0,1,6,0.003885,2
0,1,3,0,1,10,0.000000,0
0,1,3,0,1,20,0.000000,0
0,1,3,0,1,30,0.000006,2
0,1,3,0,2,3,0.000000,0
0,1,3,0,2,6,0.001120,1
0,1,3,0,2,10,0.003218,6
0,1,3,0,2,20,0.000000,0
0,1,3,0,2,30,0.000005,1
0,1,3,0,3,3,0.001245,1
0,1,3,0,3,6,0.000000,0
0,1,3,0,3,10,0.002557,7
0,1,3,0,3,20,0.000000,0
0,1,3,0,3,30,0.000000,1
0,1,3,0,4,3,0.000000,0
0,1,3,0,4,6,0.000000,0
0,1,3,0,4,10,0.002269,7
0,1,3,0,4,20,0.000000,0
0,1,3,0,4,30,0.000000,0
0,1,3,1,0,3,0.010664,7
0,1,3,1,0,6,0.029364,33
0,1,3,1,0,10,0.002056,2
0,1,3,1,0,20,0.002001,7
0,1,3,1,0,30,0.000331,3
0,1,3,1,1,3,0.005935,4
0,1,3,1,1,6,0.004883,3
0,1,3,1,1,10,0.035446,60
0,1,3,1,1,20,0.000000,0
0,1,3,1,1,30,0.000837,5
0,1,3,1,2,3,0.003176,3
0,1,3,1,2,6,0.023016,22
0,1,3,1,2,10,0.006705,4
0,1,3,1,2,20,0.001534,3
0,1,3,1,2,30,0.000203,1
0,1,3,1,3,3,0.020706,18
0,1,3,1,3,6,0.000000,0
0,1,3,1,3,10,0.003756,2
0,1,3,1,3,20,0.000119,2
0,1,3,1,3,30,0.000476,3
0,1,3,1,4,3,0.001587,1
0,1,3,1,4,6,0.011166,8
0,1,3,1,4,10,0.002179,2
0,1,3,1,4,20,0.000264,2
0,1,3,1,4,30,0.000652,3
0,1,3,2,0,3,0.018012,27
0,1,3,2,0,6,0.005715,6
0,1,3,2,0,10,0.004759,7
0,1,3,2,0,20,0.004363,20
0,1,3,2,0,30,0.005977,9
0,1,3,2,1,3,0.006629,10
0,1,3,2,1,6,0.006046,11
0,1,3,2,1,10,0.017868,29
0,1,3,2,1,20,0.004752,12
0,1,3,2,1,30,0.004072,13
0,1,3,2,2,3,0.006793,10
0,1,3,2,2,6,0.013569,15
0,1,3,2,2,10,0.006055,14
0,1,3,2,2,20,0.003772,8
0,1,3,2,2,30,0.002628,5
0,1,3,2,3,3,0.012349,15
0,1,3,2,3,6,0.008058,14
0,1,3,2,3,10,0.009728,19
0,1,3,2,3,20,0.004655,9
0,1,3,2,3,30,0.000852,8
0,1,3,2,4,3,0.004240,12
0,1,3,2,4,6,0.002803,6
0,1,3,2,4,10,0.005352,12
0,1,3,2,4,20,0.002140,10
0,1,3,2,4,30,0.002079,5
0,2,2,0,0,3,0.000000,0
0,2,2,0,0,6,0.002137,2
0,2,2,0,0,10,0.000000,0
0,2,2,0,0,20,0.000000,0
0,2,2,0,0,30,0.000000,0
0,2,2,0,1,3,0.000306,1
0,2,2,0,1,6,0.000000,0
0,2,2,0,1,10,0.000000,0
0,2,2,0,1,20,0.000000,0
0,2,2,0,1,30,0.000000,0
0,2,2,0,3,3,0.000000,0
0,2,2,0,3,6,0.000000,0
0,2,2,0,3,10,0.000000,0
0,2,2,0,3,20,0.000000,0
0,2,2,0,3,30,0.000007,1
0,2,2,0,4,3,0.000000,0
0,2,2,0,4,6,0.000000,0
0,2,2,0,4,10,0.000000,0
0,2,2,0,4,20,0.000000,0
0,2,2,0,4,30,0.000566,4
0,2,2,1,0,3,0.002053,1
0,2,2,1,0,6,0.001921,1
0,2,2,1,0,10,0.015180,13
0,2,2,1,0,20,0.003950,2
0,2,2,1,0,30,0.000000,0
0,2,2,1,1,3,0.000000,0
