elasticity,lambda,policy,seed,avg_fee_bps,fee_std_bps,fee_min_bps,fee_max_bps,hedged_pnl,fee_revenue,fee_revenue_arb,fee_revenue_fund,lvr,fundamental_volume,arb_volume,volume,fundamental_count,arb_count,avg_fundamental_size,avg_arb_size,mean_retention,fund_demand_lost,final_external_price
E1_none,0,oracle_gap,5374,6.8855,0.6507,6.0027,9.8550,0.4165,0.8088,0.0261,0.7827,0.3924,1148.1429,30.8421,1178.9850,1440,132,0.797321,0.233652,1.000000,0.0000,0.989932
E1_none,0,oracle_gap,5375,6.8662,0.6394,6.0001,9.1449,0.4313,0.8099,0.0246,0.7853,0.3787,1131.3519,29.3017,1160.6536,1440,143,0.785661,0.204907,1.000000,0.0000,0.993032
E1_none,0,oracle_gap,5376,6.8652,0.6464,6.0016,9.3547,0.4357,0.8220,0.0250,0.7970,0.3864,1116.7136,29.0692,1145.7827,1440,150,0.775496,0.193794,1.000000,0.0000,0.983636
E1_none,0,oracle_gap,5377,6.8460,0.6261,6.0006,9.3169,0.4404,0.8003,0.0207,0.7796,0.3598,1126.2047,24.7005,1150.9052,1440,133,0.782087,0.185718,1.000000,0.0000,0.980308
E1_none,0,oracle_gap,5378,6.8993,0.6714,6.0005,10.0200,0.4149,0.8323,0.0289,0.8034,0.4174,1138.1984,33.6199,1171.8182,1440,160,0.790416,0.210124,1.000000,0.0000,1.011380
E1_none,0,oracle_gap,5379,6.8750,0.6638,6.0010,9.5385,0.4229,0.8192,0.0267,0.7925,0.3964,1134.7109,31.6180,1166.3289,1440,153,0.787994,0.206654,1.000000,0.0000,0.969692
E1_none,0,oracle_gap,5380,6.9026,0.6671,6.0022,10.2769,0.4191,0.8384,0.0291,0.8093,0.4194,1137.3849,33.5622,1170.9471,1440,162,0.789851,0.207174,1.000000,0.0000,0.985922
E1_none,0,oracle_gap,5381,6.8766,0.6731,6.0011,10.3979,0.4275,0.8348,0.0300,0.8049,0.4074,1120.1217,34.0505,1154.1722,1440,158,0.777862,0.215510,1.000000,0.0000,1.042512
E1_none,0,oracle_gap,5382,6.8851,0.6505,6.0008,9.6451,0.4244,0.8222,0.0260,0.7963,0.3978,1132.8095,30.5679,1163.3774,1440,151,0.786673,0.202436,1.000000,0.0000,1.005976
E1_none,0,oracle_gap,5383,6.8678,0.6606,6.0018,10.2377,0.4152,0.8031,0.0264,0.7767,0.3879,1127.3007,31.0501,1158.3508,1440,148,0.782848,0.209798,1.000000,0.0000,0.938776
E1_none,0,oracle_gap,5384,6.8892,0.6677,6.0007,9.9010,0.4267,0.8389,0.0279,0.8110,0.4123,1132.8044,32.0746,1164.8790,1440,163,0.786670,0.196777,1.000000,0.0000,1.012620
E1_none,0,oracle_gap,5385,6.8846,0.6512,6.0000,9.8093,0.4180,0.8118,0.0253,0.7865,0.3938,1141.3407,30.4350,1171.7756,1440,160,0.792598,0.190219,1.000000,0.0000,0.986679
E1_none,0,oracle_gap,5386,6.8673,0.6599,6.0001,9.8588,0.4344,0.8296,0.0276,0.8020,0.3951,1117.5441,31.3990,1148.9431,1440,155,0.776072,0.202574,1.000000,0.0000,1.016255
