policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,lp_vs_hold_pct,fee_revenues,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price
fixed_6bps,5156,6.0000,0.4259,-0.0201,-0.0010,0.7978,0.3718,1340.1767,214,1440,0.991039,0.990642
fixed_6bps,5157,6.0000,0.4357,-0.4719,-0.0236,0.8325,0.3968,1333.8874,220,1440,1.043921,1.043504
fixed_6bps,5158,6.0000,0.4060,-0.6865,-0.0343,0.8287,0.4227,1344.7436,232,1440,1.053090,1.052668
fixed_6bps,5159,6.0000,0.4064,-0.9645,-0.0482,0.7866,0.3802,1343.5933,207,1440,0.938851,0.938475
fixed_6bps,5160,6.0000,0.4254,-0.2225,-0.0111,0.8274,0.4021,1336.8128,222,1440,1.030056,1.029643
fixed_6bps,5161,6.0000,0.4221,-0.9010,-0.0451,0.7783,0.3562,1337.9718,210,1440,0.940866,0.940490
fixed_6bps,5162,6.0000,0.4050,-0.0231,-0.0012,0.8153,0.4103,1342.7758,221,1440,1.009637,1.009233
fixed_6bps,5163,6.0000,0.4063,-0.4061,-0.0203,0.8363,0.4300,1367.8660,231,1440,1.040713,1.040297
fixed_6bps,5164,6.0000,0.4033,-0.1036,-0.0052,0.8203,0.4170,1363.2325,244,1440,1.020462,1.020054
fixed_6bps,5165,6.0000,0.4240,-0.0880,-0.0044,0.8039,0.3799,1349.1243,218,1440,0.981323,0.980930
fixed_6bps,5166,6.0000,0.4082,-0.1840,-0.0092,0.8276,0.4194,1348.3669,235,1440,1.027320,1.026909
fixed_6bps,5167,6.0000,0.4280,-0.0234,-0.0012,0.8123,0.3842,1328.5633,217,1440,1.009700,1.009296
fixed_6bps,5168,6.0000,0.4136,-1.0070,-0.0504,0.7898,0.3762,1343.5311,217,1440,0.937538,0.937163
fixed_6bps,5169,6.0000,0.4171,-0.1328,-0.0066,0.7973,0.3802,1335.9182,216,1440,0.977085,0.976694
fixed_6bps,5170,6.0000,0.4069,-0.9616,-0.0481,0.8344,0.4275,1351.6847,250,1440,1.062983,1.062558
fixed_6bps,5171,6.0000,0.4022,-0.2781,-0.0139,0.7914,0.3892,1357.4194,223,1440,0.966924,0.966537
fixed_6bps,5172,6.0000,0.3939,-0.0857,-0.0043,0.8030,0.4091,1348.3438,226,1440,0.981571,0.981178
fixed_6bps,5173,6.0000,0.4005,-0.0003,-0.0000,0.8114,0.4109,1340.8303,230,1440,0.998905,0.998505
fixed_6bps,5174,6.0000,0.4031,-0.0116,-0.0006,0.8048,0.4018,1352.5104,228,1440,1.006837,1.006434
fixed_6bps,5175,6.0000,0.4020,-0.3959,-0.0198,0.7889,0.3869,1360.1349,222,1440,0.960601,0.960216
fixed_6bps,5176,6.0000,0.3930,-0.0029,-0.0001,0.8112,0.4182,1376.5706,238,1440,0.996595,0.996196
fixed_6bps,5177,6.0000,0.4201,-0.1185,-0.0059,0.8044,0.3844,1336.6247,226,1440,0.978346,0.977955
fixed_6bps,5178,6.0000,0.4153,-0.0250,-0.0012,0.8008,0.3855,1345.7523,209,1440,1.010033,1.009629
fixed_6bps,5179,6.0000,0.4113,-0.0315,-0.0016,0.8187,0.4073,1353.2612,235,1440,1.011272,1.010867
fixed_6bps,5180,6.0000,0.4078,-0.0627,-0.0031,0.8133,0.4056,1344.2192,223,1440,1.015900,1.015494
fixed_6bps,5181,6.0000,0.3973,-0.7615,-0.0381,0.8243,0.4270,1370.1730,254,1440,1.055952,1.055530
fixed_6bps,5182,6.0000,0.4164,-0.1276,-0.0064,0.7891,0.3726,1358.5957,210,1440,0.977531,0.977140
fixed_6bps,5183,6.0000,0.4169,-0.1968,-0.0098,0.7995,0.3826,1328.1812,216,1440,0.972137,0.971747
fixed_6bps,5184,6.0000,0.3966,-1.4962,-0.0748,0.7727,0.3760,1367.8936,229,1440,0.924133,0.923763
fixed_6bps,5185,6.0000,0.4114,-0.0082,-0.0004,0.8090,0.3976,1357.1452,226,1440,0.994276,0.993878
fixed_6bps,5186,6.0000,0.4234,-0.3061,-0.0153,0.8191,0.3957,1331.4786,214,1440,1.035300,1.034886
fixed_6bps,5187,6.0000,0.4051,-0.6545,-0.0327,0.7784,0.3733,1342.1201,207,1440,0.949486,0.949106
fixed_6bps,5188,6.0000,0.4122,-0.1119,-0.0056,0.7860,0.3738,1344.6380,216,1440,0.978954,0.978562
fixed_6bps,5189,6.0000,0.3848,-0.2140,-0.0107,0.8309,0.4460,1360.4230,269,1440,1.029476,1.029064
fixed_6bps,5190,6.0000,0.4144,-0.2423,-0.0121,0.7953,0.3810,1333.9851,210,1440,0.969109,0.968721
fixed_6bps,5191,6.0000,0.4068,-0.0045,-0.0002,0.8101,0.4033,1340.6890,238,1440,0.995720,0.995321
fixed_6bps,5192,6.0000,0.4195,-0.2196,-0.0110,0.8217,0.4021,1340.4980,227,1440,1.029858,1.029446
fixed_6bps,5193,6.0000,0.3933,-0.9918,-0.0496,0.7853,0.3920,1350.1306,218,1440,0.938006,0.937630
