scenario,policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,fee_revenue,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price,normal_hedged_pnl,toxic_hedged_pnl,normal_steps,toxic_steps
campbell_rl_normal,tabular_rl,5311,6.4882,0.4868,-0.0060,0.8702,0.3834,1465.6149,130,1437,1.004925,1.004523,0.4868,0.0000,1440,0
campbell_rl_normal,tabular_rl,5312,6.6125,0.4831,-0.2472,0.9043,0.4213,1443.8063,138,1440,1.031695,1.031282,0.4831,0.0000,1440,0
campbell_rl_normal,tabular_rl,5313,6.1458,0.4725,-0.2840,0.8477,0.3753,1504.5687,163,1437,0.966579,0.966192,0.4725,0.0000,1440,0
campbell_rl_normal,tabular_rl,5314,6.5924,0.4766,-0.0142,0.8941,0.4175,1457.1211,152,1438,0.992433,0.991738,0.4766,0.0000,1440,0
campbell_rl_normal,tabular_rl,5315,6.4965,0.4732,-0.2462,0.8754,0.4021,1464.1625,149,1438,0.968862,0.968474,0.4732,0.0000,1440,0
campbell_rl_normal,tabular_rl,5316,6.3257,0.4867,-0.1079,0.8575,0.3708,1477.2168,141,1440,0.979307,0.978330,0.4867,0.0000,1440,0
campbell_rl_normal,tabular_rl,5317,6.3035,0.4842,-0.0560,0.8791,0.3949,1478.1853,167,1439,1.015026,1.014620,0.4842,0.0000,1440,0
campbell_rl_normal,tabular_rl,5318,6.5382,0.4805,-0.0209,0.8888,0.4084,1469.4649,141,1438,1.009171,1.008767,0.4805,0.0000,1440,0
campbell_rl_normal,tabular_rl,5319,6.3937,0.4747,-0.0665,0.8685,0.3938,1482.4925,149,1439,0.983753,0.983360,0.4747,0.0000,1440,0
campbell_rl_normal,tabular_rl,5320,6.6639,0.4749,-0.2629,0.8959,0.4210,1469.9176,147,1437,0.967832,0.967445,0.4749,0.0000,1440,0
campbell_rl_normal,tabular_rl,5321,6.3576,0.4755,-0.1700,0.8636,0.3881,1483.1322,164,1439,0.974087,0.973405,0.4755,0.0000,1440,0
campbell_rl_normal,tabular_rl,5322,6.5583,0.4859,-0.4864,0.8935,0.4076,1465.8249,142,1438,1.044599,1.044181,0.4859,0.0000,1440,0
campbell_rl_normal,tabular_rl,5323,6.6528,0.4784,-0.3073,0.9088,0.4304,1457.1117,142,1436,1.035372,1.034647,0.4784,0.0000,1440,0
campbell_rl_normal,tabular_rl,5324,6.6660,0.4828,-1.5889,0.9285,0.4457,1454.1637,144,1439,1.081312,1.080879,0.4828,0.0000,1440,0
campbell_rl_normal,tabular_rl,5325,6.5194,0.4734,-0.0127,0.8898,0.4164,1488.5828,153,1437,1.007213,1.006208,0.4734,0.0000,1440,0
campbell_rl_normal,tabular_rl,5326,6.5250,0.4756,-1.3244,0.8518,0.3762,1469.8217,134,1438,0.928538,0.928166,0.4756,0.0000,1440,0
campbell_rl_normal,tabular_rl,5327,6.5181,0.4888,-0.7742,0.9000,0.4112,1464.4873,152,1439,1.056424,1.056001,0.4888,0.0000,1440,0
campbell_rl_normal,tabular_rl,5328,6.6785,0.4937,-1.0484,0.9243,0.4306,1428.6383,138,1438,1.065808,1.065382,0.4937,0.0000,1440,0
campbell_rl_normal,tabular_rl,5329,6.7361,0.4746,-0.9387,0.9193,0.4447,1459.7853,148,1439,1.062216,1.061791,0.4746,0.0000,1440,0
campbell_rl_normal,tabular_rl,5330,6.5986,0.5004,-0.8337,0.9248,0.4244,1426.6747,144,1440,1.058583,1.058159,0.5004,0.0000,1440,0
campbell_rl_normal,tabular_rl,5331,6.7153,0.4945,-2.3947,0.9138,0.4192,1430.4630,153,1431,1.100269,1.099499,0.4945,0.0000,1440,0
campbell_rl_normal,tabular_rl,5332,6.3667,0.4685,-1.4084,0.8465,0.3780,1491.3797,151,1439,0.926350,0.925979,0.4685,0.0000,1440,0
campbell_rl_normal,tabular_rl,5333,6.5722,0.4833,-0.1050,0.8825,0.3993,1466.9955,138,1437,1.020605,1.020196,0.4833,0.0000,1440,0
campbell_rl_normal,tabular_rl,5334,6.4458,0.4794,-0.0025,0.8739,0.3944,1470.8577,154,1438,0.996835,0.996436,0.4794,0.0000,1440,0
