scenario,policy,seed,hedged_pnl,fee_revenue,lvr,volume,arb_volume,fund_volume,avg_fee_bps
campbell_rl_normal,fixed_6bps,5063,0.414073,0.805833,0.391760,1341.990447,54.039950,1287.950497,6.0000
campbell_rl_normal,fixed_6bps,5064,0.404338,0.818523,0.414185,1363.642469,60.064278,1303.578191,6.0000
campbell_rl_normal,fixed_6bps,5065,0.411831,0.808736,0.396905,1344.387396,55.316841,1289.070554,6.0000
campbell_rl_normal,fixed_6bps,5066,0.410136,0.825035,0.414899,1350.626201,57.916803,1292.709398,6.0000
campbell_rl_normal,fixed_6bps,5067,0.411814,0.828362,0.416549,1343.150058,59.411559,1283.738499,6.0000
campbell_rl_normal,fixed_6bps,5068,0.424305,0.787407,0.363103,1334.668091,49.885795,1284.782295,6.0000
campbell_rl_normal,fixed_6bps,5069,0.387005,0.806223,0.419218,1346.939233,68.034549,1278.904684,6.0000
campbell_rl_normal,fixed_6bps,5070,0.412248,0.813623,0.401374,1357.383065,58.986465,1298.396600,6.0000
campbell_rl_normal,fixed_6bps,5071,0.396364,0.859455,0.463091,1345.578317,68.588757,1276.989560,6.0000
campbell_rl_normal,fixed_6bps,5072,0.405544,0.821021,0.415477,1345.368117,58.032414,1287.335703,6.0000
campbell_rl_normal,fixed_6bps,5073,0.398340,0.818464,0.420124,1351.025957,61.692868,1289.333089,6.0000
campbell_rl_normal,fixed_6bps,5074,0.383742,0.800998,0.417256,1353.193422,64.640505,1288.552918,6.0000
campbell_rl_normal,fixed_6bps,5075,0.434648,0.834287,0.399639,1323.309101,51.436471,1271.872630,6.0000
campbell_rl_normal,fixed_6bps,5076,0.391718,0.815856,0.424138,1363.582297,59.711875,1303.870421,6.0000
campbell_rl_normal,fixed_6bps,5077,0.414218,0.792440,0.378223,1352.389935,51.793286,1300.596649,6.0000
campbell_rl_normal,fixed_6bps,5078,0.400378,0.828940,0.428562,1372.916885,60.751160,1312.165725,6.0000
campbell_rl_normal,fixed_6bps,5079,0.411043,0.796130,0.385087,1334.679286,52.887813,1281.791473,6.0000
campbell_rl_normal,fixed_6bps,5080,0.415263,0.789251,0.373988,1329.910011,55.280827,1274.629184,6.0000
campbell_rl_normal,fixed_6bps,5081,0.388942,0.800255,0.411312,1364.350788,60.663599,1303.687189,6.0000
campbell_rl_normal,fixed_6bps,5082,0.399252,0.798377,0.399126,1359.231765,54.021321,1305.210443,6.0000
campbell_rl_normal,fixed_6bps,5083,0.394842,0.824951,0.430110,1359.242202,61.905296,1297.336906,6.0000
campbell_rl_normal,fixed_6bps,5084,0.415549,0.791883,0.376334,1324.554101,52.533449,1272.020653,6.0000
campbell_rl_normal,fixed_6bps,5085,0.405229,0.808591,0.403363,1355.834085,59.681847,1296.152238,6.0000
campbell_rl_normal,fixed_6bps,5086,0.420446,0.795823,0.375377,1364.437794,49.936944,1314.500850,6.0000
campbell_rl_normal,fixed_6bps,5087,0.420256,0.787407,0.367151,1353.141313,47.343056,1305.798257,6.0000
campbell_rl_normal,fixed_6bps,5088,0.423545,0.839511,0.415965,1325.590640,56.721592,1268.869048,6.0000
campbell_rl_normal,fixed_6bps,5089,0.414761,0.804684,0.389922,1353.602182,53.050350,1300.551832,6.0000
campbell_rl_normal,fixed_6bps,5090,0.418637,0.840049,0.421412,1349.283296,58.891959,1290.391337,6.0000
campbell_rl_normal,fixed_6bps,5091,0.412149,0.816054,0.403905,1346.741164,54.465024,1292.276140,6.0000
campbell_rl_normal,fixed_6bps,5092,0.404461,0.804456,0.399995,1340.908461,59.585848,1281.322614,6.0000
campbell_rl_normal,fixed_6bps,5093,0.398995,0.812651,0.413656,1344.596404,61.663658,1282.932745,6.0000
campbell_rl_normal,fixed_6bps,5094,0.408644,0.817744,0.409100,1353.982015,57.714841,1296.267174,6.0000
campbell_rl_normal,fixed_6bps,5095,0.418026,0.826314,0.408288,1325.605505,58.188449,1267.417056,6.0000
campbell_rl_normal,fixed_6bps,5096,0.415883,0.799317,0.383435,1336.721307,53.983761,1282.737546,6.0000
campbell_rl_normal,fixed_6bps,5097,0.410744,0.810653,0.399909,1344.149958,54.909168,1289.240789,6.0000
campbell_rl_normal,fixed_6bps,5098,0.404949,0.816396,0.411448,1339.327912,61.021253,1278.306659,6.0000
campbell_rl_normal,fixed_6bps,5099,0.381079,0.802449,0.421370,1372.278043,66.130082,1306.147961,6.0000
campbell_rl_normal,fixed_6bps,5100,0.424699,0.812414,0.387715,1328.595133,50.755970,1277.839164,6.0000
campbell_rl_normal,fixed_6bps,5101,0.389681,0.813745,0.424065,1351.867294,63.221922,1288.645372,6.0000
campbell_rl_normal,fixed_6bps,5102,0.391511,0.832119,0.440609,1363.992760,67.499225,1296.493535,6.0000
campbell_rl_normal,fixed_6bps,5103,0.406740,0.802236,0.395496,1360.277095,54.842213,1305.434882,6.0000
