policy,step,external_price,amm_price,oracle_gap_bps,inventory_skew,recent_vol,fee_bps,trade_type,pool_x,pool_y,fee_revenue,lvr
fixed_6bps,73,1984.603238,1983.808920,-6.8662,-0.000343,0.00081397,6.0000,fund,995944.0045,502.0363,0.563756,14.2412
fixed_6bps,74,1984.502821,1983.708543,-3.4966,-0.000175,0.00081465,6.0000,fund,995918.8078,502.0490,0.463019,14.2318
fixed_6bps,75,1984.261199,1983.467018,-2.7852,-0.000139,0.00081377,6.0000,fund,995858.1773,502.0795,0.441730,14.2112
fixed_6bps,76,1987.171549,1986.376203,-18.6422,-0.000933,0.00086712,6.0000,arb+fund,996588.2306,501.7117,0.916490,15.0389
fixed_6bps,77,1984.881656,1984.087227,7.5297,0.000376,0.00085707,6.0000,fund,996013.8621,502.0010,0.344621,15.1401
fixed_6bps,78,1984.827467,1984.033059,-3.7295,-0.000187,0.00084990,6.0000,fund,996000.2658,502.0079,0.470018,15.1348
fixed_6bps,79,1986.572282,1985.777176,-12.7819,-0.000640,0.00087511,6.0000,fund,996437.9500,501.7874,0.740997,15.5025
fixed_6bps,80,1985.460950,1984.666289,1.5927,0.000080,0.00083782,6.0000,fund,996159.1963,501.9278,0.311000,15.4689
fixed_6bps,81,1984.143385,1983.349251,2.6354,0.000132,0.00079601,6.0000,fund,995828.6125,502.0944,0.279743,15.4463
fixed_6bps,82,1982.791186,1981.997593,2.8145,0.000141,0.00080666,6.0000,fund,995489.2248,502.2656,0.274298,15.4261
fixed_6bps,83,1984.720456,1983.926091,-13.7191,-0.000686,0.00083969,6.0000,fund,995973.4160,502.0214,0.768678,15.8556
fixed_6bps,84,1986.986650,1986.191379,-15.4030,-0.000771,0.00084952,6.0000,fund,996541.8653,501.7351,0.819506,16.4077
fixed_6bps,85,1987.325887,1986.530480,-5.7087,-0.000286,0.00082099,6.0000,fund,996626.9311,501.6922,0.529516,16.4491
fixed_6bps,86,1984.452566,1983.658308,10.4710,0.000523,0.00084223,6.0000,fund,995906.1974,502.0553,0.432440,16.6819
fixed_6bps,87,1983.703595,1982.909637,-0.2283,-0.000011,0.00084825,6.0000,fund,995718.2425,502.1501,0.365268,16.6421
fixed_6bps,88,1984.545879,1983.751584,-8.2449,-0.000412,0.00084343,6.0000,fund,995929.6121,502.0435,0.604964,16.7717
fixed_6bps,89,1985.504835,1984.710156,-8.8302,-0.000442,0.00081175,6.0000,fund,996170.2053,501.9223,0.622614,16.9261
fixed_6bps,90,1984.703962,1983.909604,0.0312,0.000002,0.00081902,6.0000,fund,995969.2775,502.0235,0.357605,16.8862
